number,value,datetime_start,datetime_complete,duration,params_lamb_beta1,params_lamb_beta2,params_lamb_lr,params_lamb_weight_decay,state
0,0.059473116541838046,2025-02-13 15:31:27.185248,2025-02-13 15:31:39.743887,0 days 00:00:12.558639,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.027204957729143414,2025-02-13 15:31:39.744564,2025-02-13 15:31:53.262439,0 days 00:00:13.517875,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.039951978311499554,2025-02-13 15:31:53.262798,2025-02-13 15:32:06.439066,0 days 00:00:13.176268,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.0496433130880576,2025-02-13 15:32:06.439418,2025-02-13 15:32:16.880575,0 days 00:00:10.441157,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.04906054998734779,2025-02-13 15:32:16.880859,2025-02-13 15:32:30.667098,0 days 00:00:13.786239,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.04308092835782421,2025-02-13 15:32:30.667689,2025-02-13 15:32:43.028419,0 days 00:00:12.360730,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.027481640527757034,2025-02-13 15:32:43.028790,2025-02-13 15:32:56.481638,0 days 00:00:13.452848,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.13491131861217115,2025-02-13 15:32:56.482032,2025-02-13 15:33:08.686998,0 days 00:00:12.204966,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.10240938097298817,2025-02-13 15:33:08.687573,2025-02-13 15:33:22.016997,0 days 00:00:13.329424,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.02114322801968305,2025-02-13 15:33:22.017377,2025-02-13 15:33:35.442781,0 days 00:00:13.425404,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.3667242201914334,2025-02-13 15:33:35.443341,2025-02-13 15:33:48.842233,0 days 00:00:13.398892,0.805481025350273,0.9158333241580442,0.007205607405761721,0.0004344939589574845,COMPLETE
11,0.2674378377233849,2025-02-13 15:33:48.842577,2025-02-13 15:33:59.618906,0 days 00:00:10.776329,0.8022532768142562,0.9200051256736071,0.0078027700846653,0.00042232612748259137,COMPLETE
12,0.3496026731117022,2025-02-13 15:33:59.619301,2025-02-13 15:34:13.345802,0 days 00:00:13.726501,0.8063546366506587,0.8986420061466284,0.008141129658559437,0.0004163247332460293,COMPLETE
13,0.5402939739217663,2025-02-13 15:34:13.346177,2025-02-13 15:34:26.186509,0 days 00:00:12.840332,0.8243676463804777,0.8870840395068682,0.0082864358446951,0.0004203951998389159,COMPLETE
14,0.27823311680404833,2025-02-13 15:34:26.186978,2025-02-13 15:34:39.837647,0 days 00:00:13.650669,0.856389471231881,0.9644105637151326,0.0029498901882711844,0.0007766807239860468,COMPLETE
15,0.11270172593886403,2025-02-13 15:34:39.838037,2025-02-13 15:34:51.893028,0 days 00:00:12.054991,0.8012283523416593,0.876948420392969,0.0023681433985632975,0.008080205233183124,COMPLETE
16,0.13813201476667913,2025-02-13 15:34:51.893395,2025-02-13 15:35:04.965809,0 days 00:00:13.072414,0.886979334416209,0.8708772501491173,0.0012690764532532696,0.0006211819869311149,COMPLETE
17,0.19924618482391004,2025-02-13 15:35:04.966255,2025-02-13 15:35:18.544761,0 days 00:00:13.578506,0.7788450628452686,0.9095000470016147,0.009346854007417253,0.0014522518616344791,COMPLETE
18,0.35158576809495784,2025-02-13 15:35:18.545190,2025-02-13 15:35:29.245672,0 days 00:00:10.700482,0.8329564756683905,0.9687116223320679,0.004044548739437857,0.0011759809854039753,COMPLETE
19,0.07241401527315766,2025-02-13 15:35:29.246065,2025-02-13 15:35:42.914941,0 days 00:00:13.668876,0.8314108908704958,0.8923767402043855,0.0015470504932079132,0.0004998717252951042,COMPLETE
