optimizer,test_loss,accuracy,precision,batch_size,optimizer_config
adam,1.7569576501846311,71.3,0.7502753652992107,16384," lr:0.0068455702672729195, beta1:0.805481025350273, beta2:0.8737088816669474, eps:1e-08, weight_decay:0.0004344939589574845"
adamw,1.7562261819839478,70.52,0.7190071345237973,16384," lr:0.0068455702672729195, beta1:0.805481025350273, beta2:0.8737088816669474, eps:1e-08, weight_decay:0.0004344939589574845"
rmsprop,1.8056873083114624,65.98,0.6784668196787007,16384," lr:0.0002671283825560465, alpha:0.8443421225678485, eps:1e-08, momentum:0.8914189983848095, weight_decay:0.00040579540158998487"
sam,2.302587985992432,9.88,0.0646733288186881,16384," lr:0.011160164351976207, momentum:0.3503549410741297, rho:0.09251054997414691, weight_decay:0.00043205599318936363"
lamb,1.9370869398117063,57.68,0.5960934448138325,16384," lr:0.0082864358446951, beta1:0.8243676463804777, beta2:0.8870840395068682, eps:1e-08, weight_decay:0.0004203951998389159"
novograd,2.0758910179138184,40.3,0.3448232428362597,16384," lr:0.0015680184790158318, beta1:0.9494757196445989, beta2:0.9106666004797674, eps:1e-08, weight_decay:0.011482442587463226"
adopt,1.7704625129699707,70.02,0.7342657921796334,16384," lr:0.007205607405761721, beta1:0.805481025350273, beta2:0.9158333241580442, eps:1e-08, weight_decay:0.0004344939589574845"
