number,value,datetime_start,datetime_complete,duration,params_novograd_beta1,params_novograd_beta2,params_novograd_lr,params_novograd_weight_decay,state
0,0.08685359388357584,2025-02-13 15:38:53.658658,2025-02-13 15:39:07.163800,0 days 00:00:13.505142,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.045447219983883964,2025-02-13 15:39:07.164489,2025-02-13 15:39:18.735927,0 days 00:00:11.571438,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.18036696768007418,2025-02-13 15:39:18.736337,2025-02-13 15:39:32.343775,0 days 00:00:13.607438,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.12954204632269367,2025-02-13 15:39:32.344548,2025-02-13 15:39:44.234171,0 days 00:00:11.889623,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.08976956785901682,2025-02-13 15:39:44.234568,2025-02-13 15:39:57.384294,0 days 00:00:13.149726,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.029976333049724822,2025-02-13 15:39:57.384706,2025-02-13 15:40:10.564205,0 days 00:00:13.179499,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.0549212238316108,2025-02-13 15:40:10.564647,2025-02-13 15:40:22.917879,0 days 00:00:12.353232,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.05506123169945239,2025-02-13 15:40:22.918260,2025-02-13 15:40:36.382568,0 days 00:00:13.464308,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.017604562737642583,2025-02-13 15:40:36.382962,2025-02-13 15:40:48.163407,0 days 00:00:11.780445,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.057213871608226184,2025-02-13 15:40:48.163884,2025-02-13 15:41:01.772065,0 days 00:00:13.608181,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.26947712302927807,2025-02-13 15:41:01.772438,2025-02-13 15:41:14.778541,0 days 00:00:13.006103,0.8620667604946655,0.801508709131327,0.007277272404512112,0.03252694072802373,COMPLETE
11,0.06512128981423519,2025-02-13 15:41:14.778851,2025-02-13 15:41:26.593888,0 days 00:00:11.815037,0.8670478706017131,0.8029509628130035,0.007832546063614478,0.037609040692367056,COMPLETE
12,0.3307871140086872,2025-02-13 15:41:26.594256,2025-02-13 15:41:39.898241,0 days 00:00:13.303985,0.9077902252059276,0.8682376170906927,0.0019050606173742126,0.00991680533063944,COMPLETE
13,0.09635542455198079,2025-02-13 15:41:39.898625,2025-02-13 15:41:52.118973,0 days 00:00:12.220348,0.8047665502297666,0.8906154743303186,0.0026280804661138408,0.009094551584393169,COMPLETE
14,0.12969576195314678,2025-02-13 15:41:52.119327,2025-02-13 15:42:05.352324,0 days 00:00:13.232997,0.9001507663230026,0.8546058071829156,0.009195019711461267,0.012847151577128568,COMPLETE
15,0.2523228334266423,2025-02-13 15:42:05.352649,2025-02-13 15:42:18.467721,0 days 00:00:13.115072,0.8087045874472862,0.8676875041707914,0.0023401751152172345,0.00791237538635031,COMPLETE
16,0.293815123039999,2025-02-13 15:42:18.468147,2025-02-13 15:42:30.015712,0 days 00:00:11.547565,0.9401654924368875,0.8284274568678345,0.0014247110753630376,0.023616433393528976,COMPLETE
17,0.14165227927435928,2025-02-13 15:42:30.016079,2025-02-13 15:42:44.103030,0 days 00:00:14.086951,0.9369135649320295,0.8307522558219056,0.0012856346983088462,0.018331068987313213,COMPLETE
18,0.3779763760287232,2025-02-13 15:42:44.103440,2025-02-13 15:42:56.067423,0 days 00:00:11.963983,0.9494757196445989,0.9106666004797674,0.0015680184790158318,0.011482442587463226,COMPLETE
19,0.10287047982423403,2025-02-13 15:42:56.067972,2025-02-13 15:43:08.600382,0 days 00:00:12.532410,0.8911440229564868,0.9089587788915877,0.00038563593093067755,0.004947767777040344,COMPLETE
