number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_weight_decay,state
0,0.18461617925904233,2025-02-13 15:02:28.779380,2025-02-13 15:02:40.450750,0 days 00:00:11.671370,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.03758255454309583,2025-02-13 15:02:40.451271,2025-02-13 15:02:53.527639,0 days 00:00:13.076368,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.06738878347091493,2025-02-13 15:02:53.528136,2025-02-13 15:03:04.460894,0 days 00:00:10.932758,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.5969508698788689,2025-02-13 15:03:04.461190,2025-02-13 15:03:17.327037,0 days 00:00:12.865847,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.12887615925721768,2025-02-13 15:03:17.327338,2025-02-13 15:03:30.149443,0 days 00:00:12.822105,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.38908934823307917,2025-02-13 15:03:30.149768,2025-02-13 15:03:41.901645,0 days 00:00:11.751877,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.1671219883564711,2025-02-13 15:03:41.902016,2025-02-13 15:03:54.664684,0 days 00:00:12.762668,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.46353167242227783,2025-02-13 15:03:54.665006,2025-02-13 15:04:07.457422,0 days 00:00:12.792416,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.04587632710935631,2025-02-13 15:04:07.457801,2025-02-13 15:04:18.659243,0 days 00:00:11.201442,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.16017017017017016,2025-02-13 15:04:18.659635,2025-02-13 15:04:31.778009,0 days 00:00:13.118374,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6316992267666421,2025-02-13 15:04:31.778302,2025-02-13 15:04:44.368731,0 days 00:00:12.590429,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.5958289575082947,2025-02-13 15:04:44.369221,2025-02-13 15:04:56.165782,0 days 00:00:11.796561,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.5708789234362696,2025-02-13 15:04:56.166238,2025-02-13 15:05:08.902063,0 days 00:00:12.735825,0.8100852305918648,0.8390880425994578,0.008032143535638534,0.00041798058977233826,COMPLETE
13,0.43206376832350857,2025-02-13 15:05:08.902380,2025-02-13 15:05:20.927576,0 days 00:00:12.025196,0.7885167749699532,0.9067139337908636,0.002482076244951997,0.0009561223628436155,COMPLETE
14,0.3880815566240937,2025-02-13 15:05:20.928003,2025-02-13 15:05:34.127207,0 days 00:00:13.199204,0.8576435742850956,0.839398387574482,0.002725527340501679,0.0007766807239860468,COMPLETE
15,0.5227477342585879,2025-02-13 15:05:34.127581,2025-02-13 15:05:46.910034,0 days 00:00:12.782453,0.7698343018752639,0.867140922405126,0.0023681433985632975,0.001415891380422464,COMPLETE
16,0.5291154196307539,2025-02-13 15:05:46.910428,2025-02-13 15:05:59.198365,0 days 00:00:12.287937,0.8226334120666466,0.896209569743908,0.004493610549418185,0.0005949514093473501,COMPLETE
17,0.2291336763060638,2025-02-13 15:05:59.198906,2025-02-13 15:06:11.724372,0 days 00:00:12.525466,0.8881109135729973,0.8253842703158173,0.0012513674120818749,0.007383644834404629,COMPLETE
18,0.4572559745344825,2025-02-13 15:06:11.724806,2025-02-13 15:06:23.395750,0 days 00:00:11.670944,0.7700509305642984,0.9687116223320679,0.0012406407450210818,0.0015997986492480394,COMPLETE
19,0.6068713642330807,2025-02-13 15:06:23.396212,2025-02-13 15:06:36.069502,0 days 00:00:12.673290,0.8275535735887455,0.8557358240526795,0.009007337659523225,0.000740435652219172,COMPLETE
