number,value,datetime_start,datetime_complete,duration,params_adopt_beta1,params_adopt_beta2,params_adopt_lr,params_adopt_weight_decay,state
0,0.06882210233943957,2025-02-09 18:32:10.318037,2025-02-09 18:32:15.777771,0 days 00:00:05.459734,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.06159244275645158,2025-02-09 18:32:15.778060,2025-02-09 18:32:21.358142,0 days 00:00:05.580082,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.04606660880569944,2025-02-09 18:32:21.358421,2025-02-09 18:32:27.207370,0 days 00:00:05.848949,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.5374856971434243,2025-02-09 18:32:27.207664,2025-02-09 18:32:33.094957,0 days 00:00:05.887293,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.12222282862514608,2025-02-09 18:32:33.095273,2025-02-09 18:32:40.072020,0 days 00:00:06.976747,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.3298960563446004,2025-02-09 18:32:40.072370,2025-02-09 18:32:45.819348,0 days 00:00:05.746978,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.07480692271171059,2025-02-09 18:32:45.819704,2025-02-09 18:32:51.313376,0 days 00:00:05.493672,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.5396507198140525,2025-02-09 18:32:51.313704,2025-02-09 18:32:57.329046,0 days 00:00:06.015342,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.04987692990714619,2025-02-09 18:32:57.329351,2025-02-09 18:33:03.087948,0 days 00:00:05.758597,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.036642188943039875,2025-02-09 18:33:03.088224,2025-02-09 18:33:10.055258,0 days 00:00:06.967034,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.49143945152102847,2025-02-09 18:33:10.055549,2025-02-09 18:33:16.067040,0 days 00:00:06.011491,0.805481025350273,0.9158333241580442,0.007205607405761721,0.0004344939589574845,COMPLETE
11,0.46335510561349535,2025-02-09 18:33:16.067383,2025-02-09 18:33:21.750821,0 days 00:00:05.683438,0.7875568452261015,0.8824581316031818,0.0035087629442252578,0.0006452283655116685,COMPLETE
12,0.47717752062523466,2025-02-09 18:33:21.751115,2025-02-09 18:33:27.554521,0 days 00:00:05.803406,0.7012023842946445,0.9716994200933582,0.0019276763704612454,0.0010013865777425254,COMPLETE
13,0.29237989300682743,2025-02-09 18:33:27.554777,2025-02-09 18:33:33.328355,0 days 00:00:05.773578,0.784749154995576,0.8486514666245785,0.0015724297125640828,0.0010024225545994707,COMPLETE
14,0.5650796061732665,2025-02-09 18:33:33.328645,2025-02-09 18:33:38.918168,0 days 00:00:05.589523,0.8270841738726254,0.915149779264605,0.008097649308458906,0.0004121195563592066,COMPLETE
15,0.5703131162296925,2025-02-09 18:33:38.918475,2025-02-09 18:33:45.887695,0 days 00:00:06.969220,0.8530558789787093,0.9197583391085192,0.006511302865200761,0.000499054722028748,COMPLETE
16,0.5693174666940594,2025-02-09 18:33:45.888025,2025-02-09 18:33:51.446378,0 days 00:00:05.558353,0.8517950903034708,0.9584491577705748,0.009284065250885244,0.00043515271170982325,COMPLETE
17,0.12431700792353731,2025-02-09 18:33:51.446739,2025-02-09 18:33:57.349447,0 days 00:00:05.902708,0.875389373982701,0.9619122289265389,0.009379536091264901,0.01058755236741984,COMPLETE
18,0.3467355157072954,2025-02-09 18:33:57.349758,2025-02-09 18:34:02.938956,0 days 00:00:05.589198,0.8775483555370496,0.998807161849902,0.004055728815452951,0.0017224029062485563,COMPLETE
19,0.36680561749911594,2025-02-09 18:34:02.939271,2025-02-09 18:34:08.526223,0 days 00:00:05.586952,0.922359389958301,0.9707396843170498,0.0012709497237142918,0.0005023301429910187,COMPLETE
