number,value,datetime_start,datetime_complete,duration,params_rmsprop_alpha,params_rmsprop_lr,params_rmsprop_momentum,params_rmsprop_weight_decay,state
0,0.1717206522792364,2025-02-09 18:18:28.052548,2025-02-09 18:18:33.933884,0 days 00:00:05.881336,0.9891921469755733,0.0001329291894316216,0.6587945476302646,0.006300528199911897,COMPLETE
1,0.03570926260799678,2025-02-09 18:18:33.934199,2025-02-09 18:18:40.743536,0 days 00:00:06.809337,0.8310429095469044,2.9380279387035334e-05,0.05227525095137952,0.021597937639149734,COMPLETE
2,0.02950465296419366,2025-02-09 18:18:40.743859,2025-02-09 18:18:46.675909,0 days 00:00:05.932050,0.9409064429814131,0.0006358358856676254,0.018526044866222204,0.03482408351321943,COMPLETE
3,0.5068734297017274,2025-02-09 18:18:46.676208,2025-02-09 18:18:52.069383,0 days 00:00:05.393175,0.842255483024977,0.00314288089084011,0.16364247048639055,0.0009308270833535123,COMPLETE
4,0.40898348965997827,2025-02-09 18:18:52.069715,2025-02-09 18:18:57.883759,0 days 00:00:05.814044,0.9044265298948153,8.17949947521167e-05,0.3887505167779042,0.001529390089870074,COMPLETE
5,0.4535938383774888,2025-02-09 18:18:57.884194,2025-02-09 18:19:03.566040,0 days 00:00:05.681846,0.8277592782697564,0.000684792009557478,0.26293018368169635,0.002161641541858931,COMPLETE
6,0.4852353858699819,2025-02-09 18:19:03.566383,2025-02-09 18:19:09.189369,0 days 00:00:05.622986,0.9562500163172097,0.00023345864076016249,0.17970640394252377,0.00427099308379254,COMPLETE
7,0.5740253807868443,2025-02-09 18:19:09.190245,2025-02-09 18:19:16.061647,0 days 00:00:06.871402,0.8092436321312796,0.0005987474910461401,0.5467903667112946,0.0008772194222657475,COMPLETE
8,0.06468349913633209,2025-02-09 18:19:16.062000,2025-02-09 18:19:21.396209,0 days 00:00:05.334209,0.9888282219134134,1.5673095467235405e-05,0.8690688297671034,0.016552160450244074,COMPLETE
9,0.22071878049862476,2025-02-09 18:19:21.396486,2025-02-09 18:19:26.841921,0 days 00:00:05.445435,0.8194367506872704,8.200518402245828e-05,0.6158097238609412,0.0030364419221130786,COMPLETE
10,0.04653947368421053,2025-02-09 18:19:26.842234,2025-02-09 18:19:32.309262,0 days 00:00:05.467028,0.8723818070507046,0.007205607405761721,0.5215107140682328,0.0004344939589574845,COMPLETE
11,0.5693519624115372,2025-02-09 18:19:32.309579,2025-02-09 18:19:37.948457,0 days 00:00:05.638878,0.8600821110344627,0.0035087629442252578,0.371247215822229,0.0006452283655116685,COMPLETE
12,0.5223498022020722,2025-02-09 18:19:37.948760,2025-02-09 18:19:43.917928,0 days 00:00:05.969168,0.8024825334456195,0.0017138890273524037,0.36593337227881323,0.0004177548699612171,COMPLETE
13,0.505432059592084,2025-02-09 18:19:43.918215,2025-02-09 18:19:50.529477,0 days 00:00:06.611262,0.8672908276393854,0.0018996645711707556,0.7217638254545286,0.0009986219924785842,COMPLETE
14,0.039437277267319285,2025-02-09 18:19:50.529762,2025-02-09 18:19:56.004554,0 days 00:00:05.474792,0.8677153206247319,0.00944288185744451,0.4905157695560334,0.0007766807239860468,COMPLETE
15,0.2621975044674486,2025-02-09 18:19:56.004817,2025-02-09 18:20:01.619960,0 days 00:00:05.615143,0.9013908192642368,0.0006441015096261989,0.3019169121580694,0.008080205233183124,COMPLETE
16,0.44312722294086226,2025-02-09 18:20:01.620332,2025-02-09 18:20:07.188815,0 days 00:00:05.568483,0.850794710679768,0.0034717754162591893,0.5639432629073614,0.0006626937870206566,COMPLETE
17,0.4141111801865408,2025-02-09 18:20:07.189096,2025-02-09 18:20:12.901614,0 days 00:00:05.712518,0.800365877807761,0.0011254426868976288,0.77735833933194,0.0014522518616344791,COMPLETE
18,0.320253934723851,2025-02-09 18:20:12.901891,2025-02-09 18:20:19.635187,0 days 00:00:06.733296,0.8853265903171741,0.0003095209069239348,0.4368647758157259,0.0016050730617912959,COMPLETE
19,0.4927906759814298,2025-02-09 18:20:19.635469,2025-02-09 18:20:25.357154,0 days 00:00:05.721685,0.8493990527020584,0.004540328612850751,0.2446710832357353,0.0005381132379413003,COMPLETE
