number,value,datetime_start,datetime_complete,duration,params_sam_lr,params_sam_momentum,params_sam_rho,params_sam_weight_decay,state
0,0.030270270270270273,2025-02-13 15:24:06.682953,2025-02-13 15:24:18.315257,0 days 00:00:11.632304,0.0013292918943162175,0.941207163345817,0.22227824312530747,0.006300528199911897,COMPLETE
1,0.03081818269422263,2025-02-13 15:24:18.315619,2025-02-13 15:24:31.743617,0 days 00:00:13.427998,0.00029380279387035364,0.15443457513284062,0.026844247528777843,0.021597937639149734,COMPLETE
2,0.028424080261849588,2025-02-13 15:24:31.743995,2025-02-13 15:24:44.506912,0 days 00:00:12.762917,0.006358358856676255,0.700991852018085,0.01596950334578271,0.03482408351321943,COMPLETE
3,0.025940134865020746,2025-02-13 15:24:44.507263,2025-02-13 15:24:57.662667,0 days 00:00:13.155404,0.03142880890840111,0.2102157195714934,0.06272924049005918,0.0009308270833535123,COMPLETE
4,0.0178590523607869,2025-02-13 15:24:57.663145,2025-02-13 15:25:08.458078,0 days 00:00:10.794933,0.0008179499475211679,0.5195088673159155,0.13526405540621358,0.001529390089870074,COMPLETE
5,0.04434761050168304,2025-02-13 15:25:08.458696,2025-02-13 15:25:22.192483,0 days 00:00:13.733787,0.006847920095574782,0.1380989220455214,0.09472194807521325,0.002161641541858931,COMPLETE
6,0.02100090773959828,2025-02-13 15:25:22.192883,2025-02-13 15:25:34.541652,0 days 00:00:12.348769,0.0023345864076016252,0.7773242017790835,0.06790539682592432,0.00427099308379254,COMPLETE
7,0.057148916961136,2025-02-13 15:25:34.541965,2025-02-13 15:25:47.480613,0 days 00:00:12.938648,0.005987474910461402,0.04598590859279775,0.1861880070514171,0.0008772194222657475,COMPLETE
8,0.019154251802999546,2025-02-13 15:25:47.481074,2025-02-13 15:26:00.491041,0 days 00:00:13.009967,0.00015673095467235422,0.9393966818807999,0.2900332895916222,0.016552160450244074,COMPLETE
9,0.02796878095322803,2025-02-13 15:26:00.491394,2025-02-13 15:26:12.182805,0 days 00:00:11.691411,0.0008200518402245837,0.09669539286632003,0.2084275776885255,0.0030364419221130786,COMPLETE
10,0.019394214395659425,2025-02-13 15:26:12.183177,2025-02-13 15:26:25.125539,0 days 00:00:12.942362,0.07205607405761723,0.3600903968854149,0.1780423411997639,0.0004344939589574845,COMPLETE
11,0.027255130065835086,2025-02-13 15:26:25.125923,2025-02-13 15:26:37.616499,0 days 00:00:12.490576,0.009028168422346173,0.03833794796157103,0.12962410287605156,0.0011473102227797817,COMPLETE
12,0.1117151953784955,2025-02-13 15:26:37.616844,2025-02-13 15:26:51.110478,0 days 00:00:13.493634,0.011160164351976207,0.3503549410741297,0.09251054997414691,0.00043205599318936363,COMPLETE
13,0.01861368501564864,2025-02-13 15:26:51.110746,2025-02-13 15:27:04.225450,0 days 00:00:13.114704,0.020277118089261074,0.37034724575647027,0.2425683437575703,0.0004209373177188024,COMPLETE
14,0.015367277766289456,2025-02-13 15:27:04.225796,2025-02-13 15:27:16.335234,0 days 00:00:12.109438,0.022978486186579758,0.3524443128976793,0.16805508130138852,0.0007766807239860468,COMPLETE
15,0.0554290731642883,2025-02-13 15:27:16.335507,2025-02-13 15:27:29.881903,0 days 00:00:13.546396,0.003419078429438739,0.5225011040997317,0.11771335626489275,0.0005953849260229195,COMPLETE
16,0.03296343115667949,2025-02-13 15:27:29.882404,2025-02-13 15:27:40.660282,0 days 00:00:10.777878,0.08081857630175811,0.2915025027072901,0.19171505138126088,0.007792002143525904,COMPLETE
17,0.010028022417934348,2025-02-13 15:27:40.660628,2025-02-13 15:27:53.798291,0 days 00:00:13.137663,0.008975267671618095,0.0021302132279974045,0.260482131562514,0.0014522518616344791,COMPLETE
18,0.01832975582920324,2025-02-13 15:27:53.798722,2025-02-13 15:28:07.255243,0 days 00:00:13.456521,0.003095209069239349,0.6567723643258627,0.08856108243002941,0.0006699034668327974,COMPLETE
19,0.06466340977008193,2025-02-13 15:28:07.255584,2025-02-13 15:28:22.613212,0 days 00:00:15.357628,0.015470504932079134,0.2558956667394552,0.1496513630699456,0.0021064154606934065,COMPLETE
