number,value,datetime_start,datetime_complete,duration,params_adamw_beta1,params_adamw_beta2,params_adamw_lr,params_adamw_weight_decay,state
0,0.31574058507246394,2025-02-13 15:09:36.776100,2025-02-13 15:09:49.971574,0 days 00:00:13.195474,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.15865427499643164,2025-02-13 15:09:49.971898,2025-02-13 15:10:03.613316,0 days 00:00:13.641418,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.5146250424005118,2025-02-13 15:10:03.613734,2025-02-13 15:10:17.939193,0 days 00:00:14.325459,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.524992133700237,2025-02-13 15:10:17.939504,2025-02-13 15:10:28.718477,0 days 00:00:10.778973,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.17857214294150314,2025-02-13 15:10:28.718956,2025-02-13 15:10:40.924589,0 days 00:00:12.205633,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.384177993998638,2025-02-13 15:10:40.924986,2025-02-13 15:10:54.107362,0 days 00:00:13.182376,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.24209456442156957,2025-02-13 15:10:54.107618,2025-02-13 15:11:06.991811,0 days 00:00:12.884193,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.5064477921003686,2025-02-13 15:11:06.992223,2025-02-13 15:11:20.134705,0 days 00:00:13.142482,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.032510529284162516,2025-02-13 15:11:20.135218,2025-02-13 15:11:32.982897,0 days 00:00:12.847679,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.1608028931525814,2025-02-13 15:11:32.983579,2025-02-13 15:11:45.449408,0 days 00:00:12.465829,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.5889355751109187,2025-02-13 15:11:45.449899,2025-02-13 15:11:56.637808,0 days 00:00:11.187909,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.574524009231372,2025-02-13 15:11:56.638064,2025-02-13 15:12:06.074279,0 days 00:00:09.436215,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.4645033374120298,2025-02-13 15:12:06.074655,2025-02-13 15:12:19.590894,0 days 00:00:13.516239,0.8063546366506587,0.8880383525114988,0.008140746512814398,0.0004163247332460293,COMPLETE
13,0.5809168502399918,2025-02-13 15:12:19.591507,2025-02-13 15:12:32.873487,0 days 00:00:13.281980,0.8067579206261906,0.8675172509565063,0.002824960912871497,0.00042062078314062306,COMPLETE
14,0.5305222163242986,2025-02-13 15:12:32.873911,2025-02-13 15:12:45.800898,0 days 00:00:12.926987,0.8413622655565958,0.9054856059783768,0.002309574696201183,0.0007766807239860468,COMPLETE
15,0.4281791031173812,2025-02-13 15:12:45.801256,2025-02-13 15:12:58.213950,0 days 00:00:12.412694,0.7933124815040767,0.8556469308210808,0.0022751764373432296,0.008080205233183124,COMPLETE
16,0.5842599579025807,2025-02-13 15:12:58.214433,2025-02-13 15:13:10.971482,0 days 00:00:12.757049,0.8633880487111819,0.9783805455042489,0.003922877912156772,0.0006211819869311149,COMPLETE
17,0.534974070780881,2025-02-13 15:13:10.971849,2025-02-13 15:13:23.424258,0 days 00:00:12.452409,0.8850953542087799,0.9997725514844461,0.009238414131474115,0.0014522518616344791,COMPLETE
18,0.4758540501590545,2025-02-13 15:13:23.424624,2025-02-13 15:13:36.384019,0 days 00:00:12.959395,0.8522302291401276,0.9687116223320679,0.001018926039434363,0.0006699034668327974,COMPLETE
19,0.5060666422145673,2025-02-13 15:13:36.384397,2025-02-13 15:13:49.702526,0 days 00:00:13.318129,0.8889422707167148,0.9667958388639996,0.004540328612850751,0.001621117478257909,COMPLETE
