optimizer,train_loss,val_loss,val_accuracy,val_precisions,batch_size
adam,1.7427257696787517,1.7263343334197998,74.84166666666667,0.757444192304849,16384
adam,1.7800045013427734,1.743899703025818,73.8,0.7425366645375371,16384
adam,1.7764499584833782,1.748393177986145,72.5,0.7386733675170886,16384
adam,1.7638506889343262,1.7370659112930298,74.18333333333334,0.7576877556610991,16384
adam,1.7621086835861206,1.7378982305526731,74.275,0.7635787306438591,16384
adamw,2.042402029037476,1.983992338180542,60.03333333333333,0.6197393177998135,16384
adamw,2.064756234486898,2.002480745315552,55.73333333333333,0.5414668369459134,16384
adamw,2.061473290125529,1.9983437061309808,60.86666666666667,0.7097659533146624,16384
adamw,2.055707613627116,1.9978628158569336,59.1,0.5062569870231513,16384
adamw,2.041857401529948,1.986348986625672,58.958333333333336,0.6374307760134372,16384
rmsprop,1.957764705022176,1.914516568183899,64.85833333333333,0.6078263696607363,16384
rmsprop,1.9826736450195312,1.942468285560608,59.55,0.5158953055391213,16384
rmsprop,1.9715527296066284,1.9191938638687127,65.64166666666667,0.623711023478193,16384
rmsprop,1.9873641729354856,1.9385292530059808,63.13333333333333,0.7192183177750523,16384
rmsprop,1.9690794150034587,1.9140527248382568,68.14166666666667,0.7019618377583879,16384
sam,2.302349328994751,2.3023457527160645,10.191666666666666,0.0225109899693224,16384
sam,2.3024991353352866,2.3026371002197266,10.0,0.0699799899949975,16384
sam,2.30289355913798,2.3029274940490723,9.783333333333331,0.0427814701772865,16384
sam,2.302762985229492,2.3027803897857666,9.808333333333334,0.0125138512428579,16384
sam,2.3026867707570395,2.302663326263428,6.941666666666666,0.0325658005540993,16384
lamb,2.281039237976074,2.2753467559814453,23.241666666666667,0.365838722863367,16384
lamb,2.285304069519043,2.2800710201263428,34.483333333333334,0.5419299414173931,16384
lamb,2.285315910975138,2.280245542526245,35.9,0.4778079982793879,16384
lamb,2.2858094374338784,2.2810490131378174,44.083333333333336,0.5222386474852033,16384
lamb,2.2842560609181723,2.278812885284424,39.56666666666667,0.5546960054309384,16384
novograd,2.267153739929199,2.250075340270996,17.425,0.2637009096995384,16384
novograd,2.2745920022328696,2.262022018432617,21.125,0.3009691103372606,16384
novograd,2.2635854880015054,2.246236562728882,20.366666666666667,0.1210055902091678,16384
novograd,2.27155876159668,2.2544846534729004,28.575,0.2607082550658272,16384
novograd,2.2590560913085938,2.24524188041687,17.466666666666665,0.1213101690488827,16384
adopt,1.8151933749516804,1.7909090518951416,67.54166666666667,0.6309729230409388,16384
adopt,1.8292455673217773,1.7786222696304321,71.00833333333334,0.717887401110364,16384
adopt,1.833508809407552,1.7783437967300415,71.31666666666666,0.7393250223988648,16384
adopt,1.8619671662648518,1.8151415586471558,68.03333333333333,0.7067572484540283,16384
adopt,1.7949798901875813,1.7499607801437378,72.69166666666666,0.734509193188001,16384
