optimizer,epoch,train_loss,val_loss,val_accuracy,val_precision,epoch_time,batch_size
adam,1,1.7186440229415894,1.8651859760284424,60.46,0.6302778964355034,1.6833117008209229,16384
adam,2,1.6916959881782532,1.845319151878357,62.06,0.6397126936014569,1.6531982421875,16384
adam,3,1.674078732728958,1.837205410003662,62.96,0.655328194892714,1.7604990005493164,16384
adam,4,1.6650120913982391,1.8264390230178835,64.06,0.6647689640702152,1.6599926948547363,16384
adam,5,1.659303367137909,1.828555464744568,63.96,0.6746837711382584,1.7396082878112793,16384
adam,6,1.6519131064414978,1.8214441537857056,64.6,0.6678911707463615,1.6713037490844729,16384
adam,7,1.6481579542160034,1.8183785676956177,64.94,0.6656047405807181,1.7884726524353027,16384
adam,8,1.6433991491794586,1.811679124832153,65.7,0.6776139749211153,1.691704511642456,16384
adam,9,1.638339787721634,1.8011869192123413,66.94,0.6921414143643958,1.7609834671020508,16384
adam,10,1.633718967437744,1.808085560798645,66.2,0.6923191129653568,2.692751884460449,16384
adam,11,1.636190414428711,1.805915594100952,66.2,0.6926440876679646,1.745631456375122,16384
adam,12,1.6290428638458252,1.7944155931472778,67.36,0.6942682974603154,1.6053848266601562,16384
adam,13,1.6231635212898254,1.786819338798523,68.04,0.6979840105423992,1.6807730197906494,16384
adam,14,1.6192983388900757,1.7898542881011963,67.98,0.7109970245390813,1.819557905197144,16384
adam,15,1.6197592616081238,1.7782435417175293,69.16,0.7156815382019462,1.7123379707336426,16384
adam,16,1.6146821081638336,1.7660821676254272,70.3,0.7230459542249774,1.5852739810943604,16384
adam,17,1.6113424599170685,1.7556167840957642,71.42,0.7236679382943113,1.6897907257080078,16384
adam,18,1.610590010881424,1.7720625400543213,69.84,0.7139781255500124,1.7033748626708984,16384
adam,19,1.6080418825149536,1.766692042350769,70.16,0.719587000439197,1.72153639793396,16384
adam,20,1.6018258929252625,1.745801329612732,72.58,0.7349089435357083,1.801128625869751,16384
adamw,1,1.948999136686325,2.0300111770629883,52.92,0.567063165467433,1.5425360202789309,16384
adamw,2,1.86263570189476,1.9760724306106567,54.52,0.573755501703658,1.8661465644836424,16384
adamw,3,1.803110033273697,1.9315576553344729,57.2,0.5989380707613478,1.6716067790985107,16384
adamw,4,1.7627774775028229,1.9000587463378904,59.4,0.6260225906483112,1.77604079246521,16384
adamw,5,1.7352667450904846,1.879244327545166,61.1,0.6405488229207492,1.7618818283081057,16384
adamw,6,1.7154777944087982,1.8580992221832275,62.54,0.6530340660374131,1.7874433994293213,16384
adamw,7,1.7000563740730286,1.84815001487732,63.02,0.6554402009552194,1.6753463745117188,16384
adamw,8,1.688372164964676,1.839247703552246,63.34,0.6585507257973175,1.7880146503448486,16384
adamw,9,1.6784226596355438,1.8330103158950808,63.88,0.663725598129147,2.735107898712158,16384
adamw,10,1.6716983020305634,1.8249365091323853,64.56,0.6666242827351836,1.6962261199951172,16384
adamw,11,1.665604680776596,1.820374608039856,64.82,0.6698480060156263,1.6794002056121826,16384
adamw,12,1.660388708114624,1.814417719841004,65.28,0.6765315019969973,1.7914302349090576,16384
adamw,13,1.6556679904460907,1.8120875358581543,65.76,0.6796243265450583,1.590412139892578,16384
adamw,14,1.6521747708320618,1.809553861618042,65.86,0.6778278884988749,1.6640653610229492,16384
adamw,15,1.648622989654541,1.8055726289749143,66.2,0.6824257711725251,1.6403391361236572,16384
adamw,16,1.6455078721046448,1.805044770240784,66.12,0.6827917725559791,1.633101463317871,16384
adamw,17,1.6428498029708862,1.801083207130432,66.36,0.6820338519716643,1.640681505203247,16384
adamw,18,1.63965904712677,1.7999331951141355,66.52,0.6845285748643749,1.564747333526611,16384
adamw,19,1.6371421813964844,1.7954224348068235,66.92,0.6881764886942789,1.8923876285552976,16384
adamw,20,1.6353526711463928,1.7940462827682495,67.08,0.6878994099462357,1.70943021774292,16384
rmsprop,1,1.8815683722496035,1.983351707458496,55.16,0.5779096865070239,1.8410396575927728,16384
rmsprop,2,1.818868100643158,1.9452874660491943,57.14,0.5937033467692074,1.6762893199920654,16384
rmsprop,3,1.7806186079978945,1.9212499856948853,58.34,0.6150749552935139,1.761455535888672,16384
rmsprop,4,1.7545973658561709,1.9026074409484863,59.74,0.6295624740626186,1.8326416015625,16384
rmsprop,5,1.735296756029129,1.8900505304336548,60.14,0.6298757113166721,1.7992064952850342,16384
rmsprop,6,1.722642004489899,1.879145860671997,61.26,0.6428800970727696,1.689311981201172,16384
rmsprop,7,1.7111947536468506,1.8704845905303955,61.84,0.6492394688984524,2.8875410556793213,16384
rmsprop,8,1.7005855441093445,1.8642364740371704,62.08,0.6450793620221307,1.77061128616333,16384
rmsprop,9,1.6934442520141602,1.859028458595276,62.62,0.6579404429114442,1.802450180053711,16384
rmsprop,10,1.6883871853351593,1.855792760848999,62.76,0.6620433399258003,1.6818633079528809,16384
rmsprop,11,1.6827380955219269,1.8473433256149288,63.32,0.657069570410693,1.7129251956939695,16384
rmsprop,12,1.6786130666732788,1.8462294340133667,63.46,0.6645238707206697,1.5522406101226809,16384
rmsprop,13,1.675440937280655,1.842149257659912,63.76,0.6648487372285494,1.7210614681243896,16384
rmsprop,14,1.6718057990074158,1.842398881912232,63.76,0.6669340897385808,1.82216215133667,16384
rmsprop,15,1.6698220074176788,1.8431828022003167,63.64,0.6702375142249559,1.5914969444274902,16384
rmsprop,16,1.6681758165359497,1.8353369235992432,64.32,0.6695544407471397,1.791487216949463,16384
rmsprop,17,1.6652089953422546,1.8354734182357788,64.22,0.6644894074597059,1.821967601776123,16384
rmsprop,18,1.6645132899284365,1.8323463201522827,64.54,0.6707591635470873,1.8056433200836184,16384
rmsprop,19,1.660860389471054,1.8321722745895384,64.46,0.666045552082332,1.6359798908233645,16384
rmsprop,20,1.6612188220024109,1.8291943073272705,64.58,0.6682347832589979,1.7337636947631836,16384
sam,1,2.302673101425171,2.30256462097168,7.66,0.039332465907191,1.728208303451538,16384
sam,2,2.302681565284729,2.302562952041626,7.68,0.0394935204044227,1.8313658237457275,16384
sam,3,2.302678346633911,2.302561044692993,7.72,0.039828811650598,1.769895076751709,16384
sam,4,2.3026721477508545,2.3025596141815186,7.76,0.0400501036786942,1.967159986495972,16384
sam,5,2.302669405937195,2.302557945251465,7.74,0.0400035802274325,2.6513314247131348,16384
sam,6,2.3026671409606934,2.3025565147399902,7.74,0.039962378552226,2.08972430229187,16384
sam,7,2.30267196893692,2.3025543689727783,7.74,0.0399173118484482,1.630414962768555,16384
sam,8,2.302652657032013,2.302552461624145,7.74,0.0398873828759726,1.7124013900756836,16384
sam,9,2.3026623129844666,2.30255126953125,7.74,0.0397847861544736,1.7539260387420654,16384
sam,10,2.302651286125183,2.3025496006011963,7.74,0.0397283273174646,1.9158194065094,16384
sam,11,2.302651464939117,2.3025476932525635,7.72,0.0396340982999073,1.7457025051116943,16384
sam,12,2.302637159824372,2.3025460243225098,7.72,0.0395939597437481,1.6746244430541992,16384
sam,13,2.302647829055786,2.3025448322296143,7.72,0.0395820882555241,2.0953850746154785,16384
sam,14,2.302642047405243,2.3025426864624023,7.72,0.0395820882555241,1.9401304721832275,16384
sam,15,2.3026418685913086,2.302540779113769,7.72,0.0395726068706882,1.8405566215515137,16384
sam,16,2.302635669708252,2.302539348602295,7.72,0.0395726068706882,1.7486751079559326,16384
sam,17,2.3026431798934937,2.302537441253662,7.72,0.0395681006946983,1.826862096786499,16384
sam,18,2.302639901638031,2.3025357723236084,7.72,0.039540356220298,1.807284593582153,16384
sam,19,2.3026336431503296,2.3025341033935547,7.74,0.0396740441035826,1.81998610496521,16384
sam,20,2.3026246428489685,2.30253267288208,7.76,0.0398546780336453,1.7436811923980713,16384
lamb,1,2.2742075324058533,2.2768988609313965,32.74,0.5131892588819396,1.7673368453979492,16384
lamb,2,2.2588406205177307,2.2642745971679688,32.16,0.4861506737622235,1.6957628726959229,16384
lamb,3,2.2384963035583496,2.247965097427368,32.14,0.4517187079235198,1.812901258468628,16384
lamb,4,2.2130513787269592,2.2284247875213623,32.66,0.4466702566442763,1.6776788234710691,16384
lamb,5,2.183825373649597,2.206826448440552,34.44,0.3458845193367683,1.6772172451019287,16384
lamb,6,2.1521169543266296,2.18374252319336,36.4,0.3510366842867907,1.7575652599334717,16384
lamb,7,2.1186481714248657,2.159696817398072,38.6,0.3544748711675153,1.8064062595367432,16384
lamb,8,2.0839810967445374,2.1356842517852783,39.7,0.3463399548023528,1.8332576751708984,16384
lamb,9,2.049720048904419,2.1121373176574707,40.62,0.3429303860477013,1.6807103157043457,16384
lamb,10,2.016752123832702,2.088247537612915,42.62,0.4340524281676823,1.939439296722412,16384
