number,value,datetime_start,datetime_complete,duration,params_novograd_beta1,params_novograd_beta2,params_novograd_lr,params_novograd_weight_decay,state
0,0.6113504882125929,2025-02-13 15:59:51.492684,2025-02-13 16:00:08.942906,0 days 00:00:17.450222,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.10616377810056817,2025-02-13 16:00:08.943241,2025-02-13 16:00:25.411870,0 days 00:00:16.468629,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.4278083185159124,2025-02-13 16:00:25.412349,2025-02-13 16:00:42.029043,0 days 00:00:16.616694,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.543862504453374,2025-02-13 16:00:42.029352,2025-02-13 16:00:59.213079,0 days 00:00:17.183727,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.20617034857071634,2025-02-13 16:00:59.213689,2025-02-13 16:01:15.608038,0 days 00:00:16.394349,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.4134727309352332,2025-02-13 16:01:15.608404,2025-02-13 16:01:32.800663,0 days 00:00:17.192259,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.4118972387961918,2025-02-13 16:01:32.801053,2025-02-13 16:01:49.247554,0 days 00:00:16.446501,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.3444807128857511,2025-02-13 16:01:49.247927,2025-02-13 16:02:06.578018,0 days 00:00:17.330091,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.20799511045169883,2025-02-13 16:02:06.578271,2025-02-13 16:02:21.548700,0 days 00:00:14.970429,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.2730770930180462,2025-02-13 16:02:21.549067,2025-02-13 16:02:39.278267,0 days 00:00:17.729200,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6393966025260409,2025-02-13 16:02:39.278710,2025-02-13 16:02:56.984564,0 days 00:00:17.705854,0.8372649232218539,0.9716810108175272,0.0068455702672729195,0.007614762764576758,COMPLETE
11,0.5558481364909008,2025-02-13 16:02:56.985039,2025-02-13 16:03:13.833424,0 days 00:00:16.848385,0.8164827903054434,0.9751082177020813,0.006416134266141068,0.0075509831605716305,COMPLETE
12,0.435104458423578,2025-02-13 16:03:13.833745,2025-02-13 16:03:29.249161,0 days 00:00:15.415416,0.8423232336004165,0.950347630366747,0.002243307784788718,0.00874731693510168,COMPLETE
13,0.4511009705505201,2025-02-13 16:03:29.249496,2025-02-13 16:03:47.669042,0 days 00:00:18.419546,0.987663963702868,0.960956398098446,0.00016034260145142935,0.006936300146455179,COMPLETE
14,0.6943417696533658,2025-02-13 16:03:47.669460,2025-02-13 16:04:03.069858,0 days 00:00:15.400398,0.8939422162821931,0.9096130706489098,0.009393390932458903,0.011531190954802577,COMPLETE
15,0.6793705674385958,2025-02-13 16:04:03.070194,2025-02-13 16:04:24.059792,0 days 00:00:20.989598,0.8999656143249861,0.9012415453505013,0.008146614486346218,0.015170997052208703,COMPLETE
16,0.6670431373120638,2025-02-13 16:04:24.060134,2025-02-13 16:04:43.875137,0 days 00:00:19.815003,0.906661227938396,0.896209569743908,0.002069055008696335,0.0166846689265705,COMPLETE
17,0.686587428977219,2025-02-13 16:04:43.875591,2025-02-13 16:04:59.763511,0 days 00:00:15.887920,0.8825983616313613,0.9135820618497694,0.009341423808917679,0.03479932622401992,COMPLETE
18,0.5294463977133494,2025-02-13 16:04:59.763883,2025-02-13 16:05:17.279068,0 days 00:00:17.515185,0.7958681037157445,0.9180535111806087,0.0034555008667439277,0.03979008883248345,COMPLETE
19,0.517707506279016,2025-02-13 16:05:17.279360,2025-02-13 16:05:33.307354,0 days 00:00:16.027994,0.8657875876696053,0.8705267385685509,0.0010483716440429763,0.025672802852275082,COMPLETE
