optimizer,train_loss,val_loss,val_accuracy,val_precisions,batch_size
adam,1.601684966723124,1.6030613462975685,85.93333333333334,0.8624908926870601,128
adam,1.6004790833791096,1.6036935765692528,86.03333333333333,0.8678251893212575,128
adam,1.5984150854746502,1.5849065146547685,87.96666666666667,0.8861025840283865,128
adam,1.623776299158732,1.6326846543778764,83.1,0.8402786982321686,128
adam,1.6006008755366008,1.6179375306088877,84.65,0.8548162505793309,128
adamw,1.557648317337036,1.567596676501822,89.35833333333333,0.8968385871921136,128
adamw,1.558514596939087,1.56318521245997,89.95833333333333,0.9024439945672108,128
adamw,1.5549019842147829,1.556538496879821,90.59166666666668,0.910765428326276,128
adamw,1.5589201459884643,1.5638918204510466,89.79166666666667,0.9040675170850742,128
adamw,1.555192608833313,1.5723907009084177,88.8,0.8932134275581362,128
rmsprop,1.5832218453089395,1.596193199462079,87.08333333333333,0.8825158791482004,128
rmsprop,1.575893422762553,1.5818165451922317,88.40833333333333,0.8902242705681076,128
rmsprop,1.5844483737945556,1.588395839041852,87.65833333333333,0.8895655262509339,128
rmsprop,1.5824970197677612,1.586446540152773,88.05833333333334,0.8862107293674066,128
rmsprop,1.5828885707855225,1.6162921672171735,85.00833333333334,0.8744990879640945,128
sam,1.7207084070841472,1.7204416597143133,75.225,0.763556268300551,128
sam,1.6852608661651611,1.6783253626620516,79.59166666666667,0.8028136498449616,128
sam,1.6667443218231202,1.6608415677192363,81.29166666666667,0.8194268700994922,128
sam,1.6896523338953653,1.6839229971804517,79.075,0.7990968596009665,128
sam,1.698152644475301,1.6899401989388974,78.4,0.7907571646068038,128
lamb,1.572950159390767,1.5732883646133098,88.75,0.8925422479276406,128
lamb,1.5699003270467122,1.5754825675741155,88.55,0.8907395728879164,128
lamb,1.57612513923645,1.5747193884342274,88.575,0.8904803178560012,128
lamb,1.571937962214152,1.5812175869941711,87.925,0.885985448300576,128
lamb,1.5745513563156128,1.5825110749995457,87.84166666666667,0.8868157601835008,128
novograd,1.6953715124130249,1.6992125105350575,77.44166666666666,0.7065940228053209,128
novograd,1.6194243825276693,1.6163394907687574,86.53333333333333,0.871655892153006,128
novograd,1.6420697533289592,1.6401911492043353,83.625,0.8448161334175694,128
novograd,1.6437341775894163,1.6467451795618584,82.94166666666666,0.8341176377390559,128
novograd,1.6406511157353718,1.6497671629520172,82.88333333333334,0.8383623454154823,128
adopt,1.57597683207194,1.574008284731114,89.26666666666667,0.8968291689356919,128
adopt,1.574875233968099,1.5793105059481682,88.825,0.8968788617150745,128
adopt,1.5726312131881715,1.5748674717355282,89.175,0.89857904365913,128
adopt,1.5729399553934733,1.5745998912669243,89.18333333333334,0.9020311106441431,128
adopt,1.5743812640508017,1.5793451971196113,88.65,0.8926870460388028,128
