number,value,datetime_start,datetime_complete,duration,params_adopt_beta1,params_adopt_beta2,params_adopt_lr,params_adopt_weight_decay,state
0,0.619340549213552,2025-02-13 16:09:35.834097,2025-02-13 16:09:51.249474,0 days 00:00:15.415377,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.019780781370095996,2025-02-13 16:09:51.249858,2025-02-13 16:10:07.015211,0 days 00:00:15.765353,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.00984,2025-02-13 16:10:07.015617,2025-02-13 16:10:23.358687,0 days 00:00:16.343070,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6978276093683016,2025-02-13 16:10:23.359155,2025-02-13 16:10:41.240954,0 days 00:00:17.881799,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.6586891886301552,2025-02-13 16:10:41.241356,2025-02-13 16:11:02.035447,0 days 00:00:20.794091,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6951164850707086,2025-02-13 16:11:02.035994,2025-02-13 16:11:16.562960,0 days 00:00:14.526966,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.5995699674157551,2025-02-13 16:11:16.563316,2025-02-13 16:11:34.217826,0 days 00:00:17.654510,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.7027327228069609,2025-02-13 16:11:34.218264,2025-02-13 16:11:49.893942,0 days 00:00:15.675678,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.3110203274754881,2025-02-13 16:11:49.894270,2025-02-13 16:12:07.317905,0 days 00:00:17.423635,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.5967671451275575,2025-02-13 16:12:07.318183,2025-02-13 16:12:21.860044,0 days 00:00:14.541861,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7122381137256972,2025-02-13 16:12:21.860631,2025-02-13 16:12:39.396838,0 days 00:00:17.536207,0.805481025350273,0.9158333241580442,0.007205607405761721,0.0004344939589574845,COMPLETE
11,0.7346553133988919,2025-02-13 16:12:39.397312,2025-02-13 16:12:55.628211,0 days 00:00:16.230899,0.8022532768142562,0.9200051256736071,0.0078027700846653,0.00042232612748259137,COMPLETE
12,0.7057738442042689,2025-02-13 16:12:55.628633,2025-02-13 16:13:11.932447,0 days 00:00:16.303814,0.8063546366506587,0.8986420061466284,0.008141129658559437,0.0004163247332460293,COMPLETE
13,0.7785968993707899,2025-02-13 16:13:11.932783,2025-02-13 16:13:31.205179,0 days 00:00:19.272396,0.8087638084106559,0.9784841277691264,0.0028589919709702863,0.0004206017901724036,COMPLETE
14,0.7557981281951142,2025-02-13 16:13:31.205740,2025-02-13 16:13:48.055493,0 days 00:00:16.849753,0.8430545257384091,0.9771719286824238,0.0024502838781019203,0.0007766807239860468,COMPLETE
15,0.7755528334367126,2025-02-13 16:13:48.055883,2025-02-13 16:14:05.044298,0 days 00:00:16.988415,0.855103798028072,0.9988224323357408,0.001975229290370928,0.001004757519344227,COMPLETE
16,0.7221339002593594,2025-02-13 16:14:05.044685,2025-02-13 16:14:19.330281,0 days 00:00:14.285596,0.8804825509593838,0.9657026313847447,0.0017491195111477597,0.0014499934429850665,COMPLETE
17,0.5260330466798931,2025-02-13 16:14:19.330584,2025-02-13 16:14:36.328858,0 days 00:00:16.998274,0.8454210388534075,0.9997725514844461,0.0014546352864651794,0.009423488879870925,COMPLETE
18,0.7602919187603161,2025-02-13 16:14:36.329188,2025-02-13 16:14:53.738329,0 days 00:00:17.409141,0.7700509305642984,0.9618348257787875,0.0037832836066604373,0.0006699034668327974,COMPLETE
19,0.70814185088887,2025-02-13 16:14:53.738849,2025-02-13 16:15:10.839970,0 days 00:00:17.101121,0.8820779497845821,0.9816324774735007,0.0010755815681737656,0.0015930716419952787,COMPLETE
