number,value,datetime_start,datetime_complete,duration,params_adamw_beta1,params_adamw_beta2,params_adamw_lr,params_adamw_weight_decay,state
0,0.6658084312139948,2025-02-09 18:14:03.034964,2025-02-09 18:14:13.794327,0 days 00:00:10.759363,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.629201180250711,2025-02-09 18:14:13.794670,2025-02-09 18:14:23.518916,0 days 00:00:09.724246,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.6971663678794007,2025-02-09 18:14:23.519215,2025-02-09 18:14:33.246571,0 days 00:00:09.727356,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.7817155546468681,2025-02-09 18:14:33.246861,2025-02-09 18:14:42.943225,0 days 00:00:09.696364,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.6491108566614864,2025-02-09 18:14:42.943536,2025-02-09 18:14:53.581161,0 days 00:00:10.637625,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6970936302782442,2025-02-09 18:14:53.581470,2025-02-09 18:15:03.002376,0 days 00:00:09.420906,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.6765055515396838,2025-02-09 18:15:03.002684,2025-02-09 18:15:12.640812,0 days 00:00:09.638128,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.6991829388370678,2025-02-09 18:15:12.641106,2025-02-09 18:15:23.283409,0 days 00:00:10.642303,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.548468169606008,2025-02-09 18:15:23.283681,2025-02-09 18:15:32.898219,0 days 00:00:09.614538,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.6462505600339467,2025-02-09 18:15:32.898575,2025-02-09 18:15:42.747412,0 days 00:00:09.848837,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7567889516931824,2025-02-09 18:15:42.747770,2025-02-09 18:15:53.797391,0 days 00:00:11.049621,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.7379806949191028,2025-02-09 18:15:53.797696,2025-02-09 18:16:03.451469,0 days 00:00:09.653773,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.7336225591065331,2025-02-09 18:16:03.451752,2025-02-09 18:16:13.227509,0 days 00:00:09.775757,0.8100852305918648,0.8390880425994578,0.008032143535638534,0.00041798058977233826,COMPLETE
13,0.7990245908348779,2025-02-09 18:16:13.227819,2025-02-09 18:16:23.311345,0 days 00:00:10.083526,0.7885167749699532,0.9067139337908636,0.002482076244951997,0.0009561223628436155,COMPLETE
14,0.7722282932717726,2025-02-09 18:16:23.311646,2025-02-09 18:16:34.568110,0 days 00:00:11.256464,0.7754984505313933,0.9065408105884067,0.001985405367141798,0.001073503000190102,COMPLETE
15,0.7928898609995478,2025-02-09 18:16:34.568466,2025-02-09 18:16:44.276187,0 days 00:00:09.707721,0.8530558789787093,0.9593187366990031,0.0023681433985632975,0.0007621031900913186,COMPLETE
16,0.7799459031015925,2025-02-09 18:16:44.276535,2025-02-09 18:16:53.661490,0 days 00:00:09.384955,0.8667483588471927,0.9656807643767024,0.001796965435190747,0.007792002143525904,COMPLETE
17,0.7503312524305639,2025-02-09 18:16:53.661846,2025-02-09 18:17:04.654592,0 days 00:00:10.992746,0.8916481603347631,0.9997725514844461,0.001329994754524175,0.0007235689661671161,COMPLETE
18,0.7860393055040669,2025-02-09 18:17:04.654903,2025-02-09 18:17:13.926704,0 days 00:00:09.271801,0.8313235547082862,0.9687116223320679,0.003555340224290735,0.0016677634259943878,COMPLETE
19,0.7030673114306074,2025-02-09 18:17:13.927017,2025-02-09 18:17:23.939487,0 days 00:00:10.012470,0.8803582427617854,0.9111829070765022,0.0010808048435566875,0.002717208253974153,COMPLETE
