number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_weight_decay,state
0,0.19039877134242286,2025-02-13 15:02:27.489920,2025-02-13 15:02:39.016539,0 days 00:00:11.526619,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.03935253712256737,2025-02-13 15:02:39.017113,2025-02-13 15:02:51.967817,0 days 00:00:12.950704,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.1372032014162729,2025-02-13 15:02:51.968484,2025-02-13 15:03:03.274444,0 days 00:00:11.305960,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6283818067455378,2025-02-13 15:03:03.274817,2025-02-13 15:03:16.200200,0 days 00:00:12.925383,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.18282284949095035,2025-02-13 15:03:16.200621,2025-02-13 15:03:29.265557,0 days 00:00:13.064936,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.26979857731870055,2025-02-13 15:03:29.265899,2025-02-13 15:03:41.428894,0 days 00:00:12.162995,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.2793508247993948,2025-02-13 15:03:41.429388,2025-02-13 15:03:54.643656,0 days 00:00:13.214268,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.4464871853052368,2025-02-13 15:03:54.644201,2025-02-13 15:04:07.686572,0 days 00:00:13.042371,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.046016837268974445,2025-02-13 15:04:07.686986,2025-02-13 15:04:19.648205,0 days 00:00:11.961219,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.1101620324064813,2025-02-13 15:04:19.648641,2025-02-13 15:04:32.930734,0 days 00:00:13.282093,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6551594577674585,2025-02-13 15:04:32.931118,2025-02-13 15:04:44.760332,0 days 00:00:11.829214,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.633517858294195,2025-02-13 15:04:44.760744,2025-02-13 15:04:57.522379,0 days 00:00:12.761635,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.6508733958125491,2025-02-13 15:04:57.522709,2025-02-13 15:05:10.577146,0 days 00:00:13.054437,0.8063546366506587,0.8880383525114988,0.008140746512814398,0.0004163247332460293,COMPLETE
13,0.6107403697334806,2025-02-13 15:05:10.577400,2025-02-13 15:05:22.668445,0 days 00:00:12.091045,0.8243676463804777,0.8994451202505948,0.002908658272818979,0.0004203951998389159,COMPLETE
14,0.6610443495250407,2025-02-13 15:05:22.668786,2025-02-13 15:05:35.956795,0 days 00:00:13.288009,0.8583861390118592,0.910387073581579,0.009645145205503726,0.0007766807239860468,COMPLETE
15,0.6058655047462999,2025-02-13 15:05:35.957141,2025-02-13 15:05:48.027111,0 days 00:00:12.069970,0.8530558789787093,0.9618742168001535,0.0023681433985632975,0.0010187660298903256,COMPLETE
16,0.5203920535909881,2025-02-13 15:05:48.027508,2025-02-13 15:06:01.302336,0 days 00:00:13.274828,0.8883373597072142,0.9169989149880396,0.009433315634562537,0.0006931264347019816,COMPLETE
17,0.5184429911881596,2025-02-13 15:06:01.302763,2025-02-13 15:06:14.403058,0 days 00:00:13.100295,0.7788450628452686,0.8656849481024645,0.001392903275798368,0.0015146414858152487,COMPLETE
18,0.435715608490017,2025-02-13 15:06:14.403428,2025-02-13 15:06:26.125399,0 days 00:00:11.721971,0.8830834277891653,0.974142183529303,0.004716788119074356,0.007787666803027097,COMPLETE
19,0.5344581810622142,2025-02-13 15:06:26.125808,2025-02-13 15:06:39.464488,0 days 00:00:13.338680,0.8331416549227358,0.9136004867182006,0.001296853993418164,0.0006423315514672993,COMPLETE
