optimizer,test_loss,accuracy,precision,batch_size,optimizer_config
adam,1.6948450803756714,77.52,0.7896802676810285,8192," lr:0.007579292632211577, beta1:0.7997215877927742, beta2:0.8727133876641658, eps:1e-08, weight_decay:0.0004228774708207831"
adamw,1.6440554857254028,81.78,0.8378809430183847,8192," lr:0.009642881973113504, beta1:0.7972861182163739, beta2:0.8431456245385058, eps:1e-08, weight_decay:0.0007766807239860468"
rmsprop,1.798471450805664,67.7,0.7142748662388296,8192," lr:0.0019276763704612454, alpha:0.8008250843952907, eps:1e-08, momentum:0.4732861316537825, weight_decay:0.0010013865777425254"
sam,2.302656412124634,9.64,0.0591223122960605,8192," lr:0.0008179499475211679, momentum:0.5195088673159155, rho:0.13526405540621358, weight_decay:0.001529390089870074"
lamb,1.923269391059876,55.9,0.5416794754090336,8192," lr:0.004633087206038729, beta1:0.8574188002905743, beta2:0.9783805455042489, eps:1e-08, weight_decay:0.0006211819869311149"
novograd,2.188830137252808,25.94,0.3118226505781986,8192," lr:0.0006358358856676254, beta1:0.9053410475608532, beta2:0.8041148404097309, eps:1e-08, weight_decay:0.03482408351321943"
adopt,1.7019011974334717,76.94,0.7908833310813341,8192," lr:0.008032143535638534, beta1:0.792537870163052, beta2:0.8395136004424871, eps:1e-08, weight_decay:0.0004176377119163708"
