number,value,datetime_start,datetime_complete,duration,params_sam_lr,params_sam_momentum,params_sam_rho,params_sam_weight_decay,state
0,0.03195733062158369,2025-02-09 18:20:44.789269,2025-02-09 18:20:50.828847,0 days 00:00:06.039578,0.0013292918943162175,0.941207163345817,0.22227824312530747,0.006300528199911897,COMPLETE
1,0.01587220065691251,2025-02-09 18:20:50.829272,2025-02-09 18:20:57.654048,0 days 00:00:06.824776,0.00029380279387035364,0.15443457513284062,0.026844247528777843,0.021597937639149734,COMPLETE
2,0.035279102275896604,2025-02-09 18:20:57.654337,2025-02-09 18:21:03.378036,0 days 00:00:05.723699,0.006358358856676255,0.700991852018085,0.01596950334578271,0.03482408351321943,COMPLETE
3,0.016199757899157587,2025-02-09 18:21:03.378350,2025-02-09 18:21:09.213785,0 days 00:00:05.835435,0.03142880890840111,0.2102157195714934,0.06272924049005918,0.0009308270833535123,COMPLETE
4,0.04180382123720132,2025-02-09 18:21:09.214193,2025-02-09 18:21:15.071072,0 days 00:00:05.856879,0.0008179499475211679,0.5195088673159155,0.13526405540621358,0.001529390089870074,COMPLETE
5,0.02892934105464571,2025-02-09 18:21:15.071408,2025-02-09 18:21:20.971502,0 days 00:00:05.900094,0.006847920095574782,0.1380989220455214,0.09472194807521325,0.002161641541858931,COMPLETE
6,0.009941988397679536,2025-02-09 18:21:20.971861,2025-02-09 18:21:27.630986,0 days 00:00:06.659125,0.0023345864076016252,0.7773242017790835,0.06790539682592432,0.00427099308379254,COMPLETE
7,0.016680586044395866,2025-02-09 18:21:27.631262,2025-02-09 18:21:33.319775,0 days 00:00:05.688513,0.005987474910461402,0.04598590859279775,0.1861880070514171,0.0008772194222657475,COMPLETE
8,0.04138420356458193,2025-02-09 18:21:33.320069,2025-02-09 18:21:38.824443,0 days 00:00:05.504374,0.00015673095467235422,0.9393966818807999,0.2900332895916222,0.016552160450244074,COMPLETE
9,0.05216518055916032,2025-02-09 18:21:38.824810,2025-02-09 18:21:44.660589,0 days 00:00:05.835779,0.0008200518402245837,0.09669539286632003,0.2084275776885255,0.0030364419221130786,COMPLETE
10,0.021335750487431585,2025-02-09 18:21:44.660863,2025-02-09 18:21:50.545721,0 days 00:00:05.884858,0.06845570267272924,0.3600903968854149,0.2575069100930778,0.0004344939589574845,COMPLETE
11,0.048868017075544716,2025-02-09 18:21:50.545998,2025-02-09 18:21:56.393205,0 days 00:00:05.847207,0.00044202665035590014,0.49579050110805384,0.13571880715550502,0.0020462124451678504,COMPLETE
12,0.03992768438230433,2025-02-09 18:21:56.393510,2025-02-09 18:22:03.468457,0 days 00:00:07.074947,0.0005162604523095968,0.5093679878468509,0.1548358858998353,0.007439032968681012,COMPLETE
13,0.043819215983150396,2025-02-09 18:22:03.468746,2025-02-09 18:22:08.988314,0 days 00:00:05.519568,0.00013325050272185534,0.36095953713876594,0.20429651454230244,0.0024870974694839406,COMPLETE
14,0.023525358644556592,2025-02-09 18:22:08.988759,2025-02-09 18:22:14.771831,0 days 00:00:05.783072,0.00030210752570094943,0.6538105870394979,0.12633373867857195,0.0035971923303320286,COMPLETE
15,0.010174593618302228,2025-02-09 18:22:14.772154,2025-02-09 18:22:20.458579,0 days 00:00:05.686425,0.0017144947700957669,0.34223680779578386,0.18663142039578587,0.009835334510802797,COMPLETE
16,0.02038194181172214,2025-02-09 18:22:20.458860,2025-02-09 18:22:26.285396,0 days 00:00:05.826536,0.0005733057038638158,0.6003692763754965,0.23986621187327012,0.0012088103469498131,COMPLETE
17,0.03608820040787931,2025-02-09 18:22:26.285684,2025-02-09 18:22:33.145029,0 days 00:00:06.859345,0.0034887413243993356,0.002961044956825337,0.16832354806378447,0.00045206936447734835,COMPLETE
18,0.06638810529064917,2025-02-09 18:22:33.145356,2025-02-09 18:22:38.949993,0 days 00:00:05.804637,0.0002623758351521364,0.2780039643890244,0.10427190903980854,0.003349991866942961,COMPLETE
19,0.02641277242604359,2025-02-09 18:22:38.950279,2025-02-09 18:22:44.686454,0 days 00:00:05.736175,0.00010950172157239283,0.2627753617028623,0.27494474992273443,0.003986323116782966,COMPLETE
