number,value,datetime_start,datetime_complete,duration,params_lamb_beta1,params_lamb_beta2,params_lamb_lr,params_lamb_weight_decay,state
0,0.06087215852967633,2025-02-13 15:31:57.310798,2025-02-13 15:32:07.651199,0 days 00:00:10.340401,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.027372154274664617,2025-02-13 15:32:07.651529,2025-02-13 15:32:21.458302,0 days 00:00:13.806773,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.09815170281214534,2025-02-13 15:32:21.458721,2025-02-13 15:32:35.693604,0 days 00:00:14.234883,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.2744149198082329,2025-02-13 15:32:35.693957,2025-02-13 15:32:48.109987,0 days 00:00:12.416030,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.04877802542024998,2025-02-13 15:32:48.110415,2025-02-13 15:33:01.780421,0 days 00:00:13.670006,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.09230527738842077,2025-02-13 15:33:01.780743,2025-02-13 15:33:13.577541,0 days 00:00:11.796798,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.03161075766338924,2025-02-13 15:33:13.577920,2025-02-13 15:33:26.911451,0 days 00:00:13.333531,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.19738560236148267,2025-02-13 15:33:26.911880,2025-02-13 15:33:40.936254,0 days 00:00:14.024374,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.10305386623097641,2025-02-13 15:33:40.936823,2025-02-13 15:33:54.056332,0 days 00:00:13.119509,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.021158066983779217,2025-02-13 15:33:54.057429,2025-02-13 15:34:05.723709,0 days 00:00:11.666280,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.37846144581884356,2025-02-13 15:34:05.724050,2025-02-13 15:34:18.916935,0 days 00:00:13.192885,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.3577859650031002,2025-02-13 15:34:18.917264,2025-02-13 15:34:32.841142,0 days 00:00:13.923878,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.40919929201876465,2025-02-13 15:34:32.842143,2025-02-13 15:34:45.248442,0 days 00:00:12.406299,0.8063546366506587,0.8880383525114988,0.008140746512814398,0.0004163247332460293,COMPLETE
13,0.4326577394991256,2025-02-13 15:34:45.248799,2025-02-13 15:34:57.784082,0 days 00:00:12.535283,0.8243676463804777,0.8994451202505948,0.002908658272818979,0.0004203951998389159,COMPLETE
14,0.29633799038510317,2025-02-13 15:34:57.785379,2025-02-13 15:35:11.633039,0 days 00:00:13.847660,0.856389471231881,0.9103968315706588,0.00200582248973076,0.0007766807239860468,COMPLETE
15,0.1364667996984847,2025-02-13 15:35:11.633440,2025-02-13 15:35:25.111380,0 days 00:00:13.477940,0.8012283523416593,0.9629617494525851,0.0023681433985632975,0.00811904724481791,COMPLETE
16,0.39817458057142885,2025-02-13 15:35:25.111730,2025-02-13 15:35:36.299951,0 days 00:00:11.188221,0.8877198501646792,0.8993805109329219,0.00928580129276165,0.0014424176468857495,COMPLETE
17,0.06745356945595139,2025-02-13 15:35:36.300447,2025-02-13 15:35:50.502068,0 days 00:00:14.201621,0.8253554179343272,0.8950036469609485,0.001654009834019567,0.0006147434608309955,COMPLETE
18,0.4875715277846428,2025-02-13 15:35:50.502515,2025-02-13 15:36:03.072196,0 days 00:00:12.569681,0.7700509305642984,0.9721073769767569,0.003851109201498246,0.0013286721220588968,COMPLETE
19,0.07705334103162123,2025-02-13 15:36:03.072610,2025-02-13 15:36:16.802134,0 days 00:00:13.729524,0.761954928814986,0.9979940641968038,0.0010928751259893436,0.0012588482674615415,COMPLETE
