optimizer,train_loss,val_loss,val_accuracy,val_precisions,batch_size
adam,1.6788423657417295,1.6765071153640747,79.61666666666666,0.8063834809206032,8192
adam,1.6826788187026978,1.6762230396270752,79.575,0.807490211845576,8192
adam,1.6889653007189434,1.6714680194854736,79.625,0.8074673435894824,8192
adam,1.68237962325414,1.68040531873703,79.23333333333333,0.8028224001361364,8192
adam,1.6857197880744934,1.6923545002937317,77.78333333333333,0.7847755340045649,8192
adamw,1.66899174451828,1.670097589492798,79.325,0.8034216483780365,8192
adamw,1.7434399525324504,1.7394279837608335,72.5,0.6598047714763238,8192
adamw,1.6817637880643208,1.6634488105773926,80.375,0.8123707821213951,8192
adamw,1.664981742699941,1.6578521132469175,80.475,0.8134851795093437,8192
adamw,1.6712853113810222,1.6643514037132263,80.125,0.8111920695285187,8192
rmsprop,1.7339474161465962,1.7247978448867798,76.1,0.7823600573960489,8192
rmsprop,1.7364969650904338,1.726973056793213,75.91666666666667,0.7793574470902314,8192
rmsprop,1.726274808247884,1.7047333121299744,78.6,0.7949047023916372,8192
rmsprop,1.7338059743245442,1.7254803776741028,75.98333333333333,0.7745829298962983,8192
rmsprop,1.7842635711034138,1.7696694135665894,71.2,0.7138485337352443,8192
sam,2.3025639851888022,2.302509903907776,10.2,0.018431439633117,8192
sam,2.302134950955709,2.302287220954895,10.425,0.0341008094352136,8192
sam,2.30204184850057,2.301976442337036,13.55,0.0780897568315196,8192
sam,2.3026933670043945,2.302842140197754,8.258333333333333,0.1169254452152018,8192
sam,2.3027729193369546,2.3027124404907227,9.858333333333333,0.044808030849191,8192
lamb,2.289592027664185,2.286967158317566,33.875,0.4006445441318986,8192
lamb,2.287496050198873,2.284191131591797,33.583333333333336,0.5089112500798725,8192
lamb,2.2853850523630777,2.28085720539093,30.741666666666667,0.2537222656473131,8192
lamb,2.2865476608276367,2.2831952571868896,33.71666666666667,0.4887659792328229,8192
lamb,2.286205093065897,2.282943606376648,25.008333333333333,0.4494739841096102,8192
novograd,2.276210069656372,2.2663373947143555,12.508333333333333,0.3133952484750511,8192
novograd,2.276297132174174,2.2652509212493896,23.325,0.2485704782028823,8192
novograd,2.2780232429504395,2.268419861793518,39.73333333333333,0.4953106049218266,8192
novograd,2.2763373057047525,2.2680909633636475,27.975,0.3597142096733641,8192
novograd,2.273476481437683,2.2624614238739014,21.90833333333333,0.0815684966470923,8192
adopt,1.6839136083920796,1.6846673488616943,78.375,0.7972563037057515,8192
adopt,1.7505368987719219,1.7396493554115295,72.75833333333334,0.674021621002759,8192
adopt,1.6758179664611816,1.681083619594574,78.75833333333334,0.8004482186903912,8192
adopt,1.6952335834503174,1.6924644708633423,77.475,0.7865770413078189,8192
adopt,1.679329752922058,1.6732431650161743,79.65833333333333,0.8034151252037749,8192
