number,value,datetime_start,datetime_complete,duration,params_adopt_beta1,params_adopt_beta2,params_adopt_lr,params_adopt_weight_decay,state
0,0.6121688264614659,2025-02-13 17:07:11.047518,2025-02-13 17:07:43.757502,0 days 00:00:32.709984,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.01004,2025-02-13 17:07:43.757830,2025-02-13 17:08:11.586766,0 days 00:00:27.828936,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.009760000000000001,2025-02-13 17:08:11.587103,2025-02-13 17:08:42.900108,0 days 00:00:31.313005,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6635530520636999,2025-02-13 17:08:42.900614,2025-02-13 17:09:16.378417,0 days 00:00:33.477803,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.6727183985328686,2025-02-13 17:09:16.378707,2025-02-13 17:09:46.812694,0 days 00:00:30.433987,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.7262052803664709,2025-02-13 17:09:46.813211,2025-02-13 17:10:15.042076,0 days 00:00:28.228865,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.6325869536915645,2025-02-13 17:10:15.042553,2025-02-13 17:10:47.615523,0 days 00:00:32.572970,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.7417626876408053,2025-02-13 17:10:47.615999,2025-02-13 17:11:13.928497,0 days 00:00:26.312498,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.11720948714463804,2025-02-13 17:11:13.928799,2025-02-13 17:11:43.297217,0 days 00:00:29.368418,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.6305735418163673,2025-02-13 17:11:43.297559,2025-02-13 17:12:15.117627,0 days 00:00:31.820068,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.24573593416915468,2025-02-13 17:12:15.117931,2025-02-13 17:12:45.805143,0 days 00:00:30.687212,0.805481025350273,0.9158333241580442,0.007205607405761721,0.0004344939589574845,COMPLETE
11,0.7515250543001086,2025-02-13 17:12:45.805512,2025-02-13 17:13:16.720072,0 days 00:00:30.914560,0.711230307988743,0.8824581316031818,0.0009028168422346188,0.0011473102227797817,COMPLETE
12,0.7654691884867342,2025-02-13 17:13:16.720412,2025-02-13 17:13:45.861901,0 days 00:00:29.141489,0.701171091969006,0.881277867909483,0.001522771892884874,0.0006139043181428867,COMPLETE
13,0.7074225072007458,2025-02-13 17:13:45.862257,2025-02-13 17:14:19.421139,0 days 00:00:33.558882,0.7913414356150693,0.8888282712035876,0.002482076244951997,0.00042737950904621076,COMPLETE
14,0.7512858481106417,2025-02-13 17:14:19.421457,2025-02-13 17:14:47.406319,0 days 00:00:27.984862,0.7012051357896641,0.8706769688827782,0.0017617192697880733,0.0008865160284090207,COMPLETE
15,0.6575300726602814,2025-02-13 17:14:47.406687,2025-02-13 17:15:19.760590,0 days 00:00:32.353903,0.8440983213723744,0.9588088257110262,0.006454845455004533,0.001415891380422464,COMPLETE
16,0.6528886127799945,2025-02-13 17:15:19.760904,2025-02-13 17:15:50.535296,0 days 00:00:30.774392,0.7878093931588775,0.9033485693955687,0.0012690764532532696,0.007792002143525904,COMPLETE
17,0.7454220500526144,2025-02-13 17:15:50.535652,2025-02-13 17:16:19.411569,0 days 00:00:28.875917,0.8323975734287792,0.8629364508238354,0.0003488741324399332,0.0006354440683556246,COMPLETE
18,0.7321720322213883,2025-02-13 17:16:19.412046,2025-02-13 17:16:51.895493,0 days 00:00:32.483447,0.7684149608502011,0.8325522008145267,0.0011675127321665835,0.0016057955869305987,COMPLETE
19,0.6619524683364373,2025-02-13 17:16:51.895918,2025-02-13 17:17:21.364502,0 days 00:00:29.468584,0.7019276326553707,0.9707396843170498,0.003609364696250136,0.002717208253974153,COMPLETE
