number,value,datetime_start,datetime_complete,duration,params_novograd_beta1,params_novograd_beta2,params_novograd_lr,params_novograd_weight_decay,state
0,0.6443513359704712,2025-02-13 16:47:46.911112,2025-02-13 16:48:21.259123,0 days 00:00:34.348011,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.11530633687073535,2025-02-13 16:48:21.259460,2025-02-13 16:48:54.921207,0 days 00:00:33.661747,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.5051609966372747,2025-02-13 16:48:54.921557,2025-02-13 16:49:29.369424,0 days 00:00:34.447867,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6533596890218478,2025-02-13 16:49:29.369875,2025-02-13 16:50:01.443028,0 days 00:00:32.073153,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.12771424253746227,2025-02-13 16:50:01.443391,2025-02-13 16:50:38.035513,0 days 00:00:36.592122,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.49934747958125003,2025-02-13 16:50:38.035802,2025-02-13 16:51:14.515837,0 days 00:00:36.480035,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.42909010373914347,2025-02-13 16:51:14.516333,2025-02-13 16:51:46.865867,0 days 00:00:32.349534,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.4937602508617986,2025-02-13 16:51:46.866385,2025-02-13 16:52:22.222879,0 days 00:00:35.356494,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.21053705619875548,2025-02-13 16:52:22.223237,2025-02-13 16:52:54.447214,0 days 00:00:32.223977,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.24193566508700687,2025-02-13 16:52:54.447554,2025-02-13 16:53:27.370729,0 days 00:00:32.923175,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.5683772394397372,2025-02-13 16:53:27.371039,2025-02-13 16:54:02.095637,0 days 00:00:34.724598,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.6764515438267779,2025-02-13 16:54:02.096056,2025-02-13 16:54:35.794708,0 days 00:00:33.698652,0.7997215877927742,0.9656839205822906,0.005279002900140617,0.0075509831605716305,COMPLETE
12,0.6095493666628645,2025-02-13 16:54:35.795114,2025-02-13 16:55:10.449445,0 days 00:00:34.654331,0.792537870163052,0.9982475141431165,0.008032143535638534,0.008690492900561692,COMPLETE
13,0.5466775468726585,2025-02-13 16:55:10.449749,2025-02-13 16:55:43.805786,0 days 00:00:33.356037,0.7961519928024255,0.9620568804666684,0.002482076244951997,0.0009548364864709614,COMPLETE
14,0.6345465049967849,2025-02-13 16:55:43.806043,2025-02-13 16:56:16.802403,0 days 00:00:32.996360,0.8527720276226579,0.9065408105884067,0.002422836729254169,0.010661051678556539,COMPLETE
15,0.534872685353855,2025-02-13 16:56:16.802788,2025-02-13 16:56:51.746818,0 days 00:00:34.944030,0.7698343018752639,0.8478819331351786,0.0023681433985632975,0.000501155773171328,COMPLETE
16,0.6799063616312618,2025-02-13 16:56:51.747175,2025-02-13 16:57:24.728281,0 days 00:00:32.981106,0.8226334120666466,0.9644515230870014,0.004125503750621666,0.005109654319774779,COMPLETE
17,0.45123890735667127,2025-02-13 16:57:24.728556,2025-02-13 16:58:00.711594,0 days 00:00:35.983038,0.8323975734287792,0.9711749831051082,0.0013083398122270442,0.004751616261887786,COMPLETE
18,0.6983619547357061,2025-02-13 16:58:00.711915,2025-02-13 16:58:33.521170,0 days 00:00:32.809255,0.892387864297475,0.9721073769767569,0.005345931693679172,0.011599587122200628,COMPLETE
19,0.620231321642648,2025-02-13 16:58:33.521538,2025-02-13 16:59:08.731909,0 days 00:00:35.210371,0.9112867748876318,0.9809177150116141,0.0011309810280523533,0.012639020848489642,COMPLETE
