number,value,datetime_start,datetime_complete,duration,params_lamb_beta1,params_lamb_beta2,params_lamb_lr,params_lamb_weight_decay,state
0,0.5062542112158835,2025-02-13 16:14:46.808787,2025-02-13 16:15:49.284582,0 days 00:01:02.475795,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.41295803619474053,2025-02-13 16:15:49.285003,2025-02-13 16:16:51.834066,0 days 00:01:02.549063,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.6663588167231973,2025-02-13 16:16:51.834429,2025-02-13 16:17:55.386167,0 days 00:01:03.551738,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.7250190769352439,2025-02-13 16:17:55.386561,2025-02-13 16:18:58.843767,0 days 00:01:03.457206,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.48248201315376527,2025-02-13 16:18:58.844144,2025-02-13 16:19:58.469705,0 days 00:00:59.625561,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6747529123795787,2025-02-13 16:19:58.469962,2025-02-13 16:20:56.297100,0 days 00:00:57.827138,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.6064474166180382,2025-02-13 16:20:56.297429,2025-02-13 16:21:52.651783,0 days 00:00:56.354354,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.6759768544272783,2025-02-13 16:21:52.652211,2025-02-13 16:22:54.172022,0 days 00:01:01.519811,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.41087424614133405,2025-02-13 16:22:54.172482,2025-02-13 16:23:51.549145,0 days 00:00:57.376663,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.34825437653393015,2025-02-13 16:23:51.549536,2025-02-13 16:24:48.087075,0 days 00:00:56.537539,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7593890334053468,2025-02-13 16:24:48.087436,2025-02-13 16:25:45.190907,0 days 00:00:57.103471,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.754479557145497,2025-02-13 16:25:45.191346,2025-02-13 16:26:42.627228,0 days 00:00:57.435882,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.7426851153378917,2025-02-13 16:26:42.627634,2025-02-13 16:27:40.337798,0 days 00:00:57.710164,0.8063546366506587,0.8880383525114988,0.008140746512814398,0.0004163247332460293,COMPLETE
13,0.7470837451855441,2025-02-13 16:27:40.338216,2025-02-13 16:28:37.688149,0 days 00:00:57.349933,0.8067579206261906,0.8675172509565063,0.002824960912871497,0.00042062078314062306,COMPLETE
14,0.7106887357880282,2025-02-13 16:28:37.688650,2025-02-13 16:29:34.352769,0 days 00:00:56.664119,0.83548330579242,0.9054856059783768,0.009632845247360407,0.0007766807239860468,COMPLETE
15,0.7271288342374019,2025-02-13 16:29:34.353486,2025-02-13 16:30:31.858439,0 days 00:00:57.504953,0.7821130335350401,0.8674070541605768,0.0023681433985632975,0.008080205233183124,COMPLETE
16,0.7766103598400679,2025-02-13 16:30:31.858760,2025-02-13 16:31:32.457018,0 days 00:01:00.598258,0.8574188002905743,0.9783805455042489,0.004633087206038729,0.0006211819869311149,COMPLETE
17,0.7033920661638683,2025-02-13 16:31:32.457490,2025-02-13 16:32:31.251458,0 days 00:00:58.793968,0.8801312949115133,0.9997725514844461,0.0015116346314813474,0.0014522518616344791,COMPLETE
18,0.7524555677108391,2025-02-13 16:32:31.251775,2025-02-13 16:33:28.392221,0 days 00:00:57.140446,0.8470986553042361,0.9687116223320679,0.005102892931015173,0.0006699034668327974,COMPLETE
19,0.7041646407777239,2025-02-13 16:33:28.392766,2025-02-13 16:34:25.723890,0 days 00:00:57.331124,0.8840118419830229,0.9667958388639996,0.001176984090166593,0.001621117478257909,COMPLETE
