number,value,datetime_start,datetime_complete,duration,params_rmsprop_alpha,params_rmsprop_lr,params_rmsprop_momentum,params_rmsprop_weight_decay,state
0,0.5829481390309298,2025-02-07 23:32:39.519477,2025-02-07 23:33:06.042229,0 days 00:00:26.522752,0.9891921469755733,0.0001329291894316216,0.6587945476302646,0.006300528199911897,COMPLETE
1,0.00996,2025-02-07 23:33:06.042472,2025-02-07 23:33:32.258708,0 days 00:00:26.216236,0.8310429095469044,2.9380279387035334e-05,0.05227525095137952,0.021597937639149734,COMPLETE
2,0.00998,2025-02-07 23:33:32.258947,2025-02-07 23:33:58.321054,0 days 00:00:26.062107,0.9409064429814131,0.0006358358856676254,0.018526044866222204,0.03482408351321943,COMPLETE
3,0.6718885088516222,2025-02-07 23:33:58.321297,2025-02-07 23:34:24.383088,0 days 00:00:26.061791,0.842255483024977,0.00314288089084011,0.16364247048639055,0.0009308270833535123,COMPLETE
4,0.6792811099932697,2025-02-07 23:34:24.383355,2025-02-07 23:34:50.551108,0 days 00:00:26.167753,0.9044265298948153,8.17949947521167e-05,0.3887505167779042,0.001529390089870074,COMPLETE
5,0.6864450763623721,2025-02-07 23:34:50.551348,2025-02-07 23:35:16.952036,0 days 00:00:26.400688,0.8277592782697564,0.000684792009557478,0.26293018368169635,0.002161641541858931,COMPLETE
6,0.668949248069832,2025-02-07 23:35:16.952284,2025-02-07 23:35:43.430019,0 days 00:00:26.477735,0.9562500163172097,0.00023345864076016249,0.17970640394252377,0.00427099308379254,COMPLETE
7,0.7146341495606889,2025-02-07 23:35:43.430259,2025-02-07 23:36:10.380379,0 days 00:00:26.950120,0.8092436321312796,0.0005987474910461401,0.5467903667112946,0.0008772194222657475,COMPLETE
8,0.3220725727188103,2025-02-07 23:36:10.380614,2025-02-07 23:36:38.213732,0 days 00:00:27.833118,0.9888282219134134,1.5673095467235405e-05,0.8690688297671034,0.016552160450244074,COMPLETE
9,0.6678993274521161,2025-02-07 23:36:38.213974,2025-02-07 23:37:06.097145,0 days 00:00:27.883171,0.8194367506872704,8.200518402245828e-05,0.6158097238609412,0.0030364419221130786,COMPLETE
10,0.334384863703323,2025-02-07 23:37:06.097396,2025-02-07 23:37:33.922190,0 days 00:00:27.824794,0.8723818070507046,0.007205607405761721,0.5215107140682328,0.0004344939589574845,COMPLETE
11,0.6685143715282053,2025-02-07 23:37:33.922435,2025-02-07 23:38:02.142781,0 days 00:00:28.220346,0.8077063147922755,0.0009028168422346188,0.371247215822229,0.0011473102227797817,COMPLETE
12,0.7627981515621175,2025-02-07 23:38:02.143017,2025-02-07 23:38:30.095635,0 days 00:00:27.952618,0.8704248820946988,0.0011160164351976204,0.2560672240576974,0.00043205599318936363,COMPLETE
13,0.6552592952210492,2025-02-07 23:38:30.095875,2025-02-07 23:38:57.962535,0 days 00:00:27.866660,0.8744435372783208,0.002027711808926107,0.7217638254545286,0.0004209373177188024,COMPLETE
14,0.7055690457267,2025-02-07 23:38:57.962782,2025-02-07 23:39:25.767301,0 days 00:00:27.804519,0.8708448669359982,0.002297848618657974,0.4905157695560334,0.0007766807239860468,COMPLETE
15,0.7302829636452708,2025-02-07 23:39:25.767540,2025-02-07 23:39:53.515535,0 days 00:00:27.747995,0.9050279997129764,0.0003419078429438738,0.33428282978759827,0.0005953849260229195,COMPLETE
16,0.6198900926866634,2025-02-07 23:39:53.515798,2025-02-07 23:40:21.344703,0 days 00:00:27.828905,0.9225972746848268,0.00781113420719837,0.2980168478604154,0.0005843537692169646,COMPLETE
17,0.6928877871999528,2025-02-07 23:40:21.344966,2025-02-07 23:40:49.333237,0 days 00:00:27.988271,0.8985753811922731,0.0002696924221478906,0.24046222211256163,0.001849996462395745,COMPLETE
18,0.5513256010548064,2025-02-07 23:40:49.333481,2025-02-07 23:41:16.166545,0 days 00:00:26.833064,0.8480694316630877,0.0013646768153333998,0.38036760397588765,0.007787666803027097,COMPLETE
19,0.7100561393078235,2025-02-07 23:41:16.166834,2025-02-07 23:41:41.075527,0 days 00:00:24.908693,0.8897373156282516,0.00032226612394659375,0.12493155379732879,0.0006011917205484204,COMPLETE
