number,value,datetime_start,datetime_complete,duration,params_adamw_beta1,params_adamw_beta2,params_adamw_lr,params_adamw_weight_decay,state
0,0.6900772503586634,2025-02-13 15:09:37.754965,2025-02-13 15:10:16.130654,0 days 00:00:38.375689,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.6488257597242663,2025-02-13 15:10:16.131079,2025-02-13 15:10:50.775611,0 days 00:00:34.644532,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.7184808198686305,2025-02-13 15:10:50.776014,2025-02-13 15:11:28.184174,0 days 00:00:37.408160,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.778168552800075,2025-02-13 15:11:28.184716,2025-02-13 15:12:02.211710,0 days 00:00:34.026994,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.6746214670194639,2025-02-13 15:12:02.212115,2025-02-13 15:12:37.540786,0 days 00:00:35.328671,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.753792846545472,2025-02-13 15:12:37.541148,2025-02-13 15:13:12.265171,0 days 00:00:34.724023,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.7073206116049533,2025-02-13 15:13:12.265456,2025-02-13 15:13:48.775126,0 days 00:00:36.509670,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.7237105378059882,2025-02-13 15:13:48.775679,2025-02-13 15:14:24.239252,0 days 00:00:35.463573,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.5013473005986373,2025-02-13 15:14:24.239647,2025-02-13 15:14:59.013916,0 days 00:00:34.774269,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.6753857404751427,2025-02-13 15:14:59.014318,2025-02-13 15:15:35.891550,0 days 00:00:36.877232,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7240817116525631,2025-02-13 15:15:35.891989,2025-02-13 15:16:11.085531,0 days 00:00:35.193542,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.8046179296955179,2025-02-13 15:16:11.086141,2025-02-13 15:16:47.382480,0 days 00:00:36.296339,0.7871637986843103,0.8510631474071633,0.002913773673084371,0.0014530236440084884,COMPLETE
12,0.7774612115077254,2025-02-13 15:16:47.382838,2025-02-13 15:17:22.417235,0 days 00:00:35.034397,0.801137671526981,0.8390880425994578,0.004993961824486358,0.0007662471102024182,COMPLETE
13,0.7784291511681448,2025-02-13 15:17:22.417593,2025-02-13 15:17:56.832384,0 days 00:00:34.414791,0.7930927282255434,0.8364389429072192,0.002482076244951997,0.0012083511440677125,COMPLETE
14,0.7928256045837667,2025-02-13 15:17:56.832831,2025-02-13 15:18:32.429504,0 days 00:00:35.596673,0.8300408990275321,0.9016461680300485,0.001985405367141798,0.0075494717730175175,COMPLETE
15,0.7910619801129247,2025-02-13 15:18:32.430021,2025-02-13 15:19:09.844971,0 days 00:00:37.414950,0.8530558789787093,0.9144350087457819,0.0014313969917226007,0.008080205233183124,COMPLETE
16,0.6830527536824648,2025-02-13 15:19:09.845513,2025-02-13 15:19:44.198915,0 days 00:00:34.353402,0.8833024820782258,0.896209569743908,0.008789136188295934,0.010617336839573254,COMPLETE
17,0.7733608994064236,2025-02-13 15:19:44.199396,2025-02-13 15:20:21.163089,0 days 00:00:36.963693,0.8238492500146559,0.9726599244805053,0.0014718208624263235,0.004019673030993959,COMPLETE
18,0.7784651372877329,2025-02-13 15:20:21.163455,2025-02-13 15:20:54.602559,0 days 00:00:33.439104,0.7700509305642984,0.863051777808119,0.0013203779096487558,0.0023981162208984476,COMPLETE
19,0.770309677872205,2025-02-13 15:20:54.603458,2025-02-13 15:21:28.834506,0 days 00:00:34.231048,0.8760109595910827,0.907081038009653,0.003803393448509138,0.0005224092471177263,COMPLETE
