number,value,datetime_start,datetime_complete,duration,params_sam_lr,params_sam_momentum,params_sam_rho,params_sam_weight_decay,state
0,0.010280000000000001,2025-02-13 15:49:58.479702,2025-02-13 15:50:47.112207,0 days 00:00:48.632505,0.0013292918943162175,0.941207163345817,0.22227824312530747,0.006300528199911897,COMPLETE
1,0.1345928060625467,2025-02-13 15:50:47.112780,2025-02-13 15:51:33.738686,0 days 00:00:46.625906,0.00029380279387035364,0.15443457513284062,0.026844247528777843,0.021597937639149734,COMPLETE
2,0.009760000000000001,2025-02-13 15:51:33.739139,2025-02-13 15:52:20.223947,0 days 00:00:46.484808,0.006358358856676255,0.700991852018085,0.01596950334578271,0.03482408351321943,COMPLETE
3,0.5892897043533074,2025-02-13 15:52:20.224446,2025-02-13 15:53:06.861992,0 days 00:00:46.637546,0.03142880890840111,0.2102157195714934,0.06272924049005918,0.0009308270833535123,COMPLETE
4,0.020918661691958843,2025-02-13 15:53:06.862585,2025-02-13 15:53:52.890266,0 days 00:00:46.027681,0.0008179499475211679,0.5195088673159155,0.13526405540621358,0.001529390089870074,COMPLETE
5,0.3624368842778414,2025-02-13 15:53:52.890571,2025-02-13 15:54:38.736007,0 days 00:00:45.845436,0.006847920095574782,0.1380989220455214,0.09472194807521325,0.002161641541858931,COMPLETE
6,0.38741412516804075,2025-02-13 15:54:38.736353,2025-02-13 15:55:19.674222,0 days 00:00:40.937869,0.0023345864076016252,0.7773242017790835,0.06790539682592432,0.00427099308379254,COMPLETE
7,0.2083043730003135,2025-02-13 15:55:19.674711,2025-02-13 15:56:07.281944,0 days 00:00:47.607233,0.005987474910461402,0.04598590859279775,0.1861880070514171,0.0008772194222657475,COMPLETE
8,0.024337830311281637,2025-02-13 15:56:07.282361,2025-02-13 15:56:48.459356,0 days 00:00:41.176995,0.00015673095467235422,0.9393966818807999,0.2900332895916222,0.016552160450244074,COMPLETE
9,0.030192616372391658,2025-02-13 15:56:48.459644,2025-02-13 15:57:30.930329,0 days 00:00:42.470685,0.0008200518402245837,0.09669539286632003,0.2084275776885255,0.0030364419221130786,COMPLETE
10,0.6645050718784887,2025-02-13 15:57:30.930743,2025-02-13 15:58:11.006972,0 days 00:00:40.076229,0.06845570267272924,0.3600903968854149,0.1169313440891182,0.0004344939589574845,COMPLETE
11,0.677540593549353,2025-02-13 15:58:11.007454,2025-02-13 15:58:52.402000,0 days 00:00:41.394546,0.07579292632211579,0.3404288686718846,0.11548715569088583,0.0004228774708207831,COMPLETE
12,0.6599418614065906,2025-02-13 15:58:52.402368,2025-02-13 15:59:33.412486,0 days 00:00:41.010118,0.08140746512814395,0.36307272511776584,0.1377194708771117,0.0004163247332460293,COMPLETE
13,0.5128220634207871,2025-02-13 15:59:33.412772,2025-02-13 16:00:17.001226,0 days 00:00:43.588454,0.028249609128714978,0.36444945317216776,0.10794898838112463,0.00042062078314062306,COMPLETE
14,0.6840162175468862,2025-02-13 16:00:17.001651,2025-02-13 16:01:00.460032,0 days 00:00:43.458381,0.09632845247360401,0.46251197494653745,0.16303064399064163,0.0007766807239860468,COMPLETE
15,0.46998748507901966,2025-02-13 16:01:00.460465,2025-02-13 16:01:44.164774,0 days 00:00:43.704309,0.020301875138639767,0.5225011040997317,0.18077497569263581,0.001007052478070874,COMPLETE
16,0.6833932570917043,2025-02-13 16:01:44.165146,2025-02-13 16:02:25.648364,0 days 00:00:41.483218,0.09432994889562302,0.6415173742489277,0.26791482246983445,0.0007487502253032298,COMPLETE
17,0.01004,2025-02-13 16:02:25.648649,2025-02-13 16:03:10.444962,0 days 00:00:44.796313,0.017966443879058033,0.6542471680393638,0.29981510720604976,0.008290135240640886,COMPLETE
18,0.019557994835826133,2025-02-13 16:03:10.445321,2025-02-13 16:03:51.773186,0 days 00:00:41.327865,0.04067495456453354,0.6303673056500441,0.25475422949624643,0.001603824912881495,COMPLETE
19,0.18812426742249844,2025-02-13 16:03:51.773701,2025-02-13 16:04:41.783183,0 days 00:00:50.009482,0.010465737916325208,0.7746500599422177,0.25197495382971413,0.0009165728200071861,COMPLETE
