optimizer,test_loss,accuracy,precision,batch_size,optimizer_config
adam,1.6500428072206534,81.66,0.8215131054821402,32," lr:0.0016777375695057684, beta1:0.8353927741789826, beta2:0.8697216716929952, eps:1e-08, weight_decay:0.0004122879053417241"
adamw,1.6554544245361522,80.66,0.8197960444014013,32," lr:0.002913773673084371, beta1:0.7871637986843103, beta2:0.8510631474071633, eps:1e-08, weight_decay:0.0014530236440084884"
rmsprop,1.7106019835563222,76.52,0.7852774757241896,32," lr:0.0005987474910461401, alpha:0.8092436321312796, eps:1e-08, momentum:0.5467903667112946, weight_decay:0.0008772194222657475"
sam,1.682981116756512,79.02,0.7949855167394878,32," lr:0.09632845247360401, momentum:0.46251197494653745, rho:0.16303064399064163, weight_decay:0.0007766807239860468"
lamb,1.630644135414415,83.02,0.8413143621869741,32," lr:0.004633087206038729, beta1:0.8574188002905743, beta2:0.9783805455042489, eps:1e-08, weight_decay:0.0006211819869311149"
novograd,1.7733996780055343,71.62,0.7469491912037088,32," lr:0.005345931693679172, beta1:0.892387864297475, beta2:0.9721073769767569, eps:1e-08, weight_decay:0.011599587122200628"
adopt,1.7089417702073504,75.46,0.7843864785456685,32," lr:0.001522771892884874, beta1:0.701171091969006, beta2:0.881277867909483, eps:1e-08, weight_decay:0.0006139043181428867"
