number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_weight_decay,state
0,0.6183065163204617,2025-02-13 14:52:18.974335,2025-02-13 14:52:46.983208,0 days 00:00:28.008873,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.009760000000000001,2025-02-13 14:52:46.983885,2025-02-13 14:53:13.628593,0 days 00:00:26.644708,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.01014,2025-02-13 14:53:13.628944,2025-02-13 14:53:40.761822,0 days 00:00:27.132878,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.7035564770572644,2025-02-13 14:53:40.762081,2025-02-13 14:54:06.231895,0 days 00:00:25.469814,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.6423513085314265,2025-02-13 14:54:06.232363,2025-02-13 14:54:34.536055,0 days 00:00:28.303692,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6980739038355068,2025-02-13 14:54:34.536516,2025-02-13 14:55:00.181132,0 days 00:00:25.644616,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.6330097634483405,2025-02-13 14:55:00.181500,2025-02-13 14:55:28.925776,0 days 00:00:28.744276,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.7187516404858976,2025-02-13 14:55:28.926044,2025-02-13 14:55:54.792717,0 days 00:00:25.866673,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.07528586171382842,2025-02-13 14:55:54.793289,2025-02-13 14:56:22.616962,0 days 00:00:27.823673,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.6642371346365704,2025-02-13 14:56:22.617284,2025-02-13 14:56:50.870643,0 days 00:00:28.253359,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6858986254335516,2025-02-13 14:56:50.871101,2025-02-13 14:57:17.259315,0 days 00:00:26.388214,0.805481025350273,0.9158333241580442,0.007205607405761721,0.0004344939589574845,COMPLETE
11,0.746115408621044,2025-02-13 14:57:17.259690,2025-02-13 14:57:45.748294,0 days 00:00:28.488604,0.7875568452261015,0.8824581316031818,0.0035087629442252578,0.0006452283655116685,COMPLETE
12,0.7844363051344881,2025-02-13 14:57:45.748621,2025-02-13 14:58:12.814561,0 days 00:00:27.065940,0.7036177623076865,0.881277867909483,0.0017138890273524037,0.0004177548699612171,COMPLETE
13,0.7526291805073513,2025-02-13 14:58:12.815042,2025-02-13 14:58:38.702858,0 days 00:00:25.887816,0.8068877509354205,0.8888282712035876,0.002482076244951997,0.0004204444059591225,COMPLETE
14,0.7881568647084377,2025-02-13 14:58:38.703128,2025-02-13 14:59:07.042853,0 days 00:00:28.339725,0.8353927741789826,0.8697216716929952,0.0016777375695057684,0.0004122879053417241,COMPLETE
15,0.7307728579540689,2025-02-13 14:59:07.043360,2025-02-13 14:59:33.715743,0 days 00:00:26.672383,0.8530558789787093,0.8572511454635864,0.0014369656077025692,0.001415891380422464,COMPLETE
16,0.505409486148375,2025-02-13 14:59:33.716077,2025-02-13 15:00:01.186320,0 days 00:00:27.470243,0.8887246703790389,0.9584491577705748,0.008534302970959482,0.00808945924597793,COMPLETE
17,0.7480872724170833,2025-02-13 15:00:01.186677,2025-02-13 15:00:29.188949,0 days 00:00:28.002272,0.7008096959402639,0.8638667748052119,0.0011957014571886996,0.0006883133236055487,COMPLETE
18,0.6945966793289502,2025-02-13 15:00:29.189418,2025-02-13 15:00:59.802699,0 days 00:00:30.613281,0.8287082842594761,0.8993673701828094,0.0003095209069239348,0.0011654393773067651,COMPLETE
19,0.7589456895820892,2025-02-13 15:00:59.803736,2025-02-13 15:01:29.408579,0 days 00:00:29.604843,0.7647032043510619,0.8277486862267622,0.0015470504932079132,0.00040309418431071995,COMPLETE
